contract_id,close_time,row_count,has_outcome_row,trader_actual_side,trader_actual_label,trader_kalshi_price,trader_kalshi_target,trader_kalshi_target_source,official_result,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,official_title,discrepancy,note
KXBTC15M-26JUN042315-15,2026-06-05T03:15:00Z,2,1,NO,0,62315.96,62547.94,observed_source_snapshot,NO,no,finalized,2026-06-05T03:15:04.458375Z,0.0000,62319.83,62547.94,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042330-30,2026-06-05T03:30:00Z,2,1,YES,1,62466.04,62319.83,observed_source_snapshot,YES,yes,finalized,2026-06-05T03:30:04.458471Z,1.0000,62522.98,62319.83,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042345-45,2026-06-05T03:45:00Z,2,1,YES,1,62545.27,62522.98,observed_source_snapshot,YES,yes,finalized,2026-06-05T03:45:04.411651Z,1.0000,62602.52,62522.98,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050000-00,2026-06-05T04:00:00Z,2,1,YES,1,62650.02,62602.52,observed_source_snapshot,YES,yes,finalized,2026-06-05T04:00:34.009854Z,1.0000,62650.53,62602.52,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050015-15,2026-06-05T04:15:00Z,2,1,YES,1,62771.85,62650.53,observed_source_snapshot,YES,yes,finalized,2026-06-05T04:15:04.458436Z,1.0000,62783.40,62650.53,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050030-30,2026-06-05T04:30:00Z,2,1,YES,1,63136.59,62783.4,observed_source_snapshot,YES,yes,finalized,2026-06-05T04:30:04.459044Z,1.0000,63140.54,62783.4,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050045-45,2026-06-05T04:45:00Z,2,1,NO,0,62939.6,63140.54,observed_source_snapshot,NO,no,finalized,2026-06-05T04:45:04.46184Z,0.0000,62950.55,63140.54,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050100-00,2026-06-05T05:00:00Z,2,1,YES,1,63527.12,62950.55,observed_source_snapshot,YES,yes,finalized,2026-06-05T05:00:04.460316Z,1.0000,63544.52,62950.55,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050115-15,2026-06-05T05:15:00Z,2,1,NO,0,63290.18,63544.52,observed_source_snapshot,NO,no,finalized,2026-06-05T05:15:04.455723Z,0.0000,63312.16,63544.52,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050130-30,2026-06-05T05:30:00Z,2,1,YES,1,63422.22,63312.16,observed_source_snapshot,YES,yes,finalized,2026-06-05T05:30:14.457135Z,1.0000,63425.95,63312.16,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050145-45,2026-06-05T05:45:00Z,2,1,NO,0,62867.2,63425.95,observed_source_snapshot,NO,no,finalized,2026-06-05T05:45:04.462129Z,0.0000,62847.12,63425.95,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050200-00,2026-06-05T06:00:00Z,2,1,NO,0,62226.75,62847.12,observed_source_snapshot,NO,no,finalized,2026-06-05T06:00:04.455752Z,0.0000,62269.21,62847.12,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050215-15,2026-06-05T06:15:00Z,2,1,NO,0,62083.38,62269.21,observed_source_snapshot,NO,no,finalized,2026-06-05T06:15:04.458463Z,0.0000,62073.67,62269.21,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050230-30,2026-06-05T06:30:00Z,2,1,NO,0,61617.23,62073.67,observed_source_snapshot,NO,no,finalized,2026-06-05T06:30:04.459129Z,0.0000,61596.45,62073.67,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050245-45,2026-06-05T06:45:00Z,2,1,YES,1,61794.33,61596.45,observed_source_snapshot,YES,yes,finalized,2026-06-05T06:45:04.407013Z,1.0000,62047.66,61596.45,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050300-00,2026-06-05T07:00:00Z,2,1,NO,0,61970.71,62047.66,observed_source_snapshot,NO,no,finalized,2026-06-05T07:00:04.458066Z,0.0000,61868.44,62047.66,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050315-15,2026-06-05T07:15:00Z,2,1,NO,0,61504.15,61868.44,observed_source_snapshot,NO,no,finalized,2026-06-05T07:15:04.453682Z,0.0000,61478.53,61868.44,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050330-30,2026-06-05T07:30:00Z,2,1,YES,1,62201.49,61478.53,observed_source_snapshot,YES,yes,finalized,2026-06-05T07:30:04.404821Z,1.0000,62177.66,61478.53,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050345-45,2026-06-05T07:45:00Z,2,1,YES,1,62802.7,62177.66,observed_source_snapshot,YES,yes,finalized,2026-06-05T07:45:04.455529Z,1.0000,62790.98,62177.66,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050400-00,2026-06-05T08:00:00Z,2,1,YES,1,62892.78,62790.98,observed_source_snapshot,YES,yes,finalized,2026-06-05T08:00:04.452703Z,1.0000,63002.09,62790.98,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050415-15,2026-06-05T08:15:00Z,2,1,NO,0,62717.04,63002.09,observed_source_snapshot,NO,no,finalized,2026-06-05T08:15:04.452814Z,0.0000,62729.83,63002.09,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050430-30,2026-06-05T08:30:00Z,2,1,YES,1,62750.91,62729.83,observed_source_snapshot,YES,yes,finalized,2026-06-05T08:30:04.458778Z,1.0000,62771.83,62729.83,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050445-45,2026-06-05T08:45:00Z,2,1,NO,0,62540.04,62771.83,observed_source_snapshot,NO,no,finalized,2026-06-05T08:45:04.45166Z,0.0000,62527.70,62771.83,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050500-00,2026-06-05T09:00:00Z,2,1,NO,0,62416.83,62527.7,observed_source_snapshot,NO,no,finalized,2026-06-05T09:00:04.453724Z,0.0000,62408.80,62527.7,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050515-15,2026-06-05T09:15:00Z,2,1,YES,1,62961.16,62408.8,observed_source_snapshot,YES,yes,finalized,2026-06-05T09:15:04.406211Z,1.0000,62958.84,62408.8,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050530-30,2026-06-05T09:30:00Z,2,1,YES,1,63077.67,62958.84,observed_source_snapshot,YES,yes,finalized,2026-06-05T09:30:04.453467Z,1.0000,63070.68,62958.84,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050545-45,2026-06-05T09:45:00Z,2,1,NO,0,62761.35,63070.68,observed_source_snapshot,NO,no,finalized,2026-06-05T09:45:04.453563Z,0.0000,62769.34,63070.68,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050600-00,2026-06-05T10:00:00Z,2,1,YES,1,62787.13,62769.34,observed_source_snapshot,YES,yes,finalized,2026-06-05T10:00:04.457075Z,1.0000,62806.88,62769.34,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050615-15,2026-06-05T10:15:00Z,2,1,NO,0,62741.85,62806.88,observed_source_snapshot,NO,no,finalized,2026-06-05T10:15:04.4555Z,0.0000,62712.48,62806.88,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050630-30,2026-06-05T10:30:00Z,2,1,NO,0,62533.51,62712.48,observed_source_snapshot,NO,no,finalized,2026-06-05T10:30:04.402437Z,0.0000,62545.35,62712.48,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050645-45,2026-06-05T10:45:00Z,2,1,NO,0,62521.84,62545.35,observed_source_snapshot,YES,yes,finalized,2026-06-05T10:45:04.454917Z,1.0000,62580.50,62545.35,BTC price up in next 15 mins?,YES,trader outcome differs from official Kalshi result
KXBTC15M-26JUN050700-00,2026-06-05T11:00:00Z,2,1,NO,0,62480.9,62580.5,observed_source_snapshot,NO,no,finalized,2026-06-05T11:00:04.453605Z,0.0000,62503.25,62580.5,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050715-15,2026-06-05T11:15:00Z,2,1,NO,0,62290.55,62503.25,observed_source_snapshot,NO,no,finalized,2026-06-05T11:15:04.451152Z,0.0000,62283.56,62503.25,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050730-30,2026-06-05T11:30:00Z,2,1,YES,1,62433.09,62283.56,observed_source_snapshot,YES,yes,finalized,2026-06-05T11:30:04.45976Z,1.0000,62413.25,62283.56,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050745-45,2026-06-05T11:45:00Z,2,1,NO,0,62101.66,62413.25,observed_source_snapshot,NO,no,finalized,2026-06-05T11:45:14.452745Z,0.0000,62103.30,62413.25,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050800-00,2026-06-05T12:00:00Z,2,1,NO,0,61930.15,62103.3,observed_source_snapshot,NO,no,finalized,2026-06-05T12:00:04.455629Z,0.0000,61946.99,62103.3,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050815-15,2026-06-05T12:15:00Z,2,1,YES,1,62132.4,61946.99,observed_source_snapshot,YES,yes,finalized,2026-06-05T12:15:04.405178Z,1.0000,62109.46,61946.99,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050830-30,2026-06-05T12:30:00Z,2,1,YES,1,62137.07,62109.46,observed_source_snapshot,YES,yes,finalized,2026-06-05T12:30:04.456406Z,1.0000,62157.65,62109.46,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050845-45,2026-06-05T12:45:00Z,2,1,NO,0,61996.99,62157.65,observed_source_snapshot,NO,no,finalized,2026-06-05T12:45:04.412191Z,0.0000,61955.16,62157.65,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050900-00,2026-06-05T13:00:00Z,2,1,NO,0,61922.49,61955.16,observed_source_snapshot,NO,no,finalized,2026-06-05T13:00:04.457212Z,0.0000,61917.81,61955.16,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050915-15,2026-06-05T13:15:00Z,2,1,YES,1,61998.17,61917.81,observed_source_snapshot,YES,yes,finalized,2026-06-05T13:15:04.457038Z,1.0000,61998.70,61917.81,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050930-30,2026-06-05T13:30:00Z,2,1,YES,1,62120.46,61998.7,observed_source_snapshot,YES,yes,finalized,2026-06-05T13:30:04.457245Z,1.0000,62109.06,61998.7,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN050945-45,2026-06-05T13:45:00Z,2,1,NO,0,61815.52,62109.06,observed_source_snapshot,NO,no,finalized,2026-06-05T13:45:04.404117Z,0.0000,61765.58,62109.06,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051000-00,2026-06-05T14:00:00Z,1,0,,,,,,NO,no,finalized,2026-06-05T14:00:04.458145Z,0.0000,60715.38,61765.58,BTC price up in next 15 mins?,UNKNOWN,no trader outcome row
KXBTC15M-26JUN051015-15,2026-06-05T14:15:00Z,2,1,YES,1,60812.89,60715.38,observed_source_snapshot,YES,yes,finalized,2026-06-05T14:15:04.45724Z,1.0000,60813.42,60715.38,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051030-30,2026-06-05T14:30:00Z,2,1,NO,0,60334.95,60813.42,observed_source_snapshot,NO,no,finalized,2026-06-05T14:30:04.452216Z,0.0000,60352.24,60813.42,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051045-45,2026-06-05T14:45:00Z,2,1,YES,1,60968.11,60352.24,observed_source_snapshot,YES,yes,finalized,2026-06-05T15:15:14.455319Z,1.0000,60752.65,60352.24,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051100-00,2026-06-05T15:00:00Z,2,1,,,60799.27,,missing,YES,yes,finalized,2026-06-05T15:13:24.406571Z,1.0000,60838.44,,BTC price up in next 15 mins?,UNKNOWN,no trader outcome row
KXBTC15M-26JUN051115-15,2026-06-05T15:15:00Z,2,1,,,60516.49,,missing,NO,no,finalized,2026-06-05T15:15:14.460802Z,0.0000,60542.60,,BTC price up in next 15 mins?,UNKNOWN,no trader outcome row
KXBTC15M-26JUN051130-30,2026-06-05T15:30:00Z,2,1,YES,1,60761.45,60542.6,observed_source_snapshot,YES,yes,finalized,2026-06-05T15:30:04.457467Z,1.0000,60727.34,60542.6,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051145-45,2026-06-05T15:45:00Z,2,1,NO,0,60429.54,60727.34,observed_source_snapshot,NO,no,finalized,2026-06-05T15:45:04.455595Z,0.0000,60336.97,60727.34,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051200-00,2026-06-05T16:00:00Z,2,1,YES,1,60502.71,60336.97,observed_source_snapshot,YES,yes,finalized,2026-06-05T16:00:04.462611Z,1.0000,60438.40,60336.97,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051215-15,2026-06-05T16:15:00Z,2,1,YES,1,61008.78,60438.4,observed_source_snapshot,YES,yes,finalized,2026-06-05T16:15:04.462053Z,1.0000,60904.78,60438.4,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051230-30,2026-06-05T16:30:00Z,2,1,YES,1,60929.62,60904.78,observed_source_snapshot,YES,yes,finalized,2026-06-05T16:30:04.42607Z,1.0000,60921.59,60904.78,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051245-45,2026-06-05T16:45:00Z,2,1,NO,0,60842.95,60921.59,observed_source_snapshot,NO,no,finalized,2026-06-05T16:45:04.413437Z,0.0000,60805.83,60921.59,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051300-00,2026-06-05T17:00:00Z,2,1,YES,1,61356.96,60805.83,observed_source_snapshot,YES,yes,finalized,2026-06-05T17:00:04.455657Z,1.0000,61389.54,60805.83,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051315-15,2026-06-05T17:15:00Z,2,1,NO,0,61051.53,61389.54,observed_source_snapshot,NO,no,finalized,2026-06-05T17:15:04.457018Z,0.0000,61033.93,61389.54,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051330-30,2026-06-05T17:30:00Z,2,1,NO,0,60754.17,61033.93,observed_source_snapshot,NO,no,finalized,2026-06-05T17:30:04.459694Z,0.0000,60651.79,61033.93,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051345-45,2026-06-05T17:45:00Z,2,1,YES,1,60932.68,60651.79,observed_source_snapshot,YES,yes,finalized,2026-06-05T17:45:04.407881Z,1.0000,60816.10,60651.79,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051400-00,2026-06-05T18:00:00Z,2,1,NO,0,60782.27,60816.1,observed_source_snapshot,NO,no,finalized,2026-06-05T18:00:04.459044Z,0.0000,60750.02,60816.1,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051415-15,2026-06-05T18:15:00Z,2,1,NO,0,60684.06,60750.02,observed_source_snapshot,NO,no,finalized,2026-06-05T18:15:04.473145Z,0.0000,60639.50,60750.02,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051430-30,2026-06-05T18:30:00Z,2,1,NO,0,60180.29,60639.5,observed_source_snapshot,NO,no,finalized,2026-06-05T18:30:04.455455Z,0.0000,60112.30,60639.5,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051445-45,2026-06-05T18:45:00Z,2,1,NO,0,59956.82,60112.3,observed_source_snapshot,NO,no,finalized,2026-06-05T18:45:04.458286Z,0.0000,59790.42,60112.3,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051500-00,2026-06-05T19:00:00Z,2,1,NO,0,59379.08,59790.42,observed_source_snapshot,NO,no,finalized,2026-06-05T19:00:04.460061Z,0.0000,59366.86,59790.42,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051515-15,2026-06-05T19:15:00Z,2,1,YES,1,59389.43,59366.86,observed_source_snapshot,NO,no,finalized,2026-06-05T19:15:04.463242Z,0.0000,59345.73,59366.86,BTC price up in next 15 mins?,YES,trader outcome differs from official Kalshi result
KXBTC15M-26JUN051530-30,2026-06-05T19:30:00Z,2,1,YES,1,59811.8,59345.73,observed_source_snapshot,YES,yes,finalized,2026-06-05T19:30:04.454997Z,1.0000,59803.02,59345.73,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051545-45,2026-06-05T19:45:00Z,2,1,NO,0,59620.42,59803.02,observed_source_snapshot,NO,no,finalized,2026-06-05T19:45:04.460705Z,0.0000,59665.61,59803.02,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051600-00,2026-06-05T20:00:00Z,2,1,YES,1,60248.49,59665.61,observed_source_snapshot,YES,yes,finalized,2026-06-05T20:00:04.458753Z,1.0000,60340.20,59665.61,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051615-15,2026-06-05T20:15:00Z,2,1,YES,1,60717.44,60340.2,observed_source_snapshot,YES,yes,finalized,2026-06-05T20:15:04.458841Z,1.0000,60775.15,60340.2,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051630-30,2026-06-05T20:30:00Z,2,1,YES,1,61009.89,60775.15,observed_source_snapshot,YES,yes,finalized,2026-06-05T20:30:04.461455Z,1.0000,60941.59,60775.15,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051645-45,2026-06-05T20:45:00Z,2,1,YES,1,61256.69,60941.59,observed_source_snapshot,YES,yes,finalized,2026-06-05T20:45:04.461897Z,1.0000,61261.31,60941.59,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051700-00,2026-06-05T21:00:00Z,2,1,YES,1,61619.16,61261.31,observed_source_snapshot,YES,yes,finalized,2026-06-05T21:00:04.458047Z,1.0000,61638.06,61261.31,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051715-15,2026-06-05T21:15:00Z,2,1,YES,1,61775.6,61638.06,observed_source_snapshot,YES,yes,finalized,2026-06-05T21:15:04.462968Z,1.0000,61808.19,61638.06,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051730-30,2026-06-05T21:30:00Z,2,1,NO,0,61544.9,61808.19,observed_source_snapshot,NO,no,finalized,2026-06-05T21:30:04.460532Z,0.0000,61570.77,61808.19,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051745-45,2026-06-05T21:45:00Z,2,1,YES,1,61909.88,61570.77,observed_source_snapshot,YES,yes,finalized,2026-06-05T21:45:04.457423Z,1.0000,61867.30,61570.77,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051800-00,2026-06-05T22:00:00Z,1,0,,,,,,NO,no,finalized,2026-06-05T22:00:04.504429Z,0.0000,61658.10,61867.3,BTC price up in next 15 mins?,UNKNOWN,no trader outcome row
KXBTC15M-26JUN051815-15,2026-06-05T22:15:00Z,2,1,NO,0,61369.46,61658.1,observed_source_snapshot,NO,no,finalized,2026-06-05T22:15:04.507117Z,0.0000,61354.66,61658.1,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051830-30,2026-06-05T22:30:00Z,2,1,YES,1,61479.53,61354.66,observed_source_snapshot,YES,yes,finalized,2026-06-05T22:30:04.458994Z,1.0000,61474.35,61354.66,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051845-45,2026-06-05T22:45:00Z,2,1,YES,1,61766.1,61474.35,observed_source_snapshot,YES,yes,finalized,2026-06-05T22:45:04.478466Z,1.0000,61762.61,61474.35,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051900-00,2026-06-05T23:00:00Z,2,1,NO,0,61739.08,61762.61,observed_source_snapshot,NO,no,finalized,2026-06-05T23:00:04.41106Z,0.0000,61584.39,61762.61,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051915-15,2026-06-05T23:15:00Z,2,1,NO,0,61350.26,61584.39,observed_source_snapshot,NO,no,finalized,2026-06-05T23:24:44.407615Z,0.0000,61377.54,61584.39,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051930-30,2026-06-05T23:30:00Z,2,1,NO,0,60976.62,61377.54,observed_source_snapshot,NO,no,finalized,2026-06-05T23:30:04.455819Z,0.0000,60977.66,61377.54,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN051945-45,2026-06-05T23:45:00Z,2,1,NO,0,60721.8,60977.66,observed_source_snapshot,NO,no,finalized,2026-06-05T23:45:04.4554Z,0.0000,60775.28,60977.66,BTC price up in next 15 mins?,NO,
