horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
300,0.60-0.70,0.60,0.70,14,185,0.075676,9,5,0.642857,0.655714,-0.012857,-0.180000,-0.000973,0.6579314295,10,0,0.000000,-0.014862,0,0.000000,0
300,0.60-0.80,0.60,0.80,34,185,0.183784,22,12,0.647059,0.717059,-0.070000,-2.380000,-0.012865,0.8649163048,18,0,0.000000,-0.015644,0,0.000000,0
300,0.60-0.90,0.60,0.90,75,185,0.405405,57,18,0.760000,0.796213,-0.036213,-2.716000,-0.014681,0.8282572396,25,0,0.000000,-0.016158,0,0.000000,0
300,0.60-1.00,0.60,1.00,178,185,0.962162,155,23,0.870787,0.892213,-0.021427,-3.814000,-0.020616,0.8641948943,17,0,0.000000,-0.015626,0,0.000000,0
300,0.70-0.80,0.70,0.80,20,185,0.108108,13,7,0.650000,0.760000,-0.110000,-2.200000,-0.011892,0.9170105748,13,1,0.076923,-0.010182,0,0.000000,0
300,0.70-0.90,0.70,0.90,61,185,0.329730,48,13,0.786885,0.828459,-0.041574,-2.536000,-0.013708,0.851314114,22,3,0.136364,-0.009272,0,0.000000,0
300,0.70-1.00,0.70,1.00,164,185,0.886486,146,18,0.890244,0.912402,-0.022159,-3.634000,-0.019643,0.8801908767,17,3,0.176471,-0.007803,0,0.000000,0
300,0.80-0.90,0.80,0.90,41,185,0.221622,35,6,0.853659,0.861854,-0.008195,-0.336000,-0.001816,0.6648355675,16,5,0.312500,-0.006724,0,0.000000,0
300,0.80-1.00,0.80,1.00,144,185,0.778378,133,11,0.923611,0.933569,-0.009958,-1.434000,-0.007751,0.754326418,14,5,0.357143,-0.005196,0,0.000000,0
300,0.90-1.00,0.90,1.00,103,185,0.556757,98,5,0.951456,0.962117,-0.010660,-1.098000,-0.005935,0.8054838141,8,5,0.625000,0.001342,0,0.000000,0
360,0.50-0.60,0.50,0.60,16,184,0.086957,7,9,0.437500,0.557500,-0.120000,-1.920000,-0.010435,0.8885155905,5,3,0.600000,0.003904,0,0.000000,0
360,0.50-0.70,0.50,0.70,34,184,0.184783,20,14,0.588235,0.612941,-0.024706,-0.840000,-0.004565,0.686035466,10,3,0.300000,-0.005517,0,0.000000,0
360,0.50-0.80,0.50,0.80,55,184,0.298913,33,22,0.600000,0.672182,-0.072182,-3.970000,-0.021576,0.903152374,15,4,0.266667,-0.005131,0,0.000000,0
360,0.50-0.90,0.50,0.90,98,184,0.532609,71,27,0.724490,0.754837,-0.030347,-2.974000,-0.016163,0.8032191507,17,4,0.235294,-0.007608,0,0.000000,0
360,0.50-1.00,0.50,1.00,184,184,1.000000,154,30,0.836957,0.848560,-0.011603,-2.135000,-0.011603,0.7244433954,11,4,0.363636,-0.004967,0,0.000000,0
