ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,180,2026-06-04T14:57:01.048000Z,178.952,1.048,0.260500,NO,0.739500,0.741000,0.70-0.80,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.741000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,240,2026-06-04T14:55:58.090000Z,241.910,1.910,0.380000,NO,0.620000,0.640000,0.60-0.70,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.640000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,300,2026-06-04T14:54:56.168000Z,303.832,3.832,0.345000,NO,0.655000,0.660000,0.60-0.70,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.660000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,360,2026-06-04T14:54:00.181000Z,359.819,0.181,0.180000,NO,0.820000,0.830000,0.80-0.90,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.830000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,420,2026-06-04T14:52:56.088000Z,423.912,3.912,0.155000,NO,0.845000,0.850000,0.80-0.90,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.850000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,480,2026-06-04T14:52:01.385000Z,478.615,1.385,0.400500,NO,0.599500,0.601000,0.50-0.60,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.601000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,540,2026-06-04T14:50:57.132000Z,542.868,2.868,0.515000,YES,0.515000,0.530000,0.50-0.60,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,1,0.470000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,600,2026-06-04T14:50:00.143000Z,599.857,0.143,0.305000,NO,0.695000,0.710000,0.60-0.70,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.710000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,660,2026-06-04T14:49:06.815000Z,653.185,6.815,0.175000,NO,0.825000,0.840000,0.80-0.90,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.840000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,720,2026-06-04T14:48:00.904000Z,719.096,0.904,0.315000,NO,0.685000,0.700000,0.60-0.70,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.700000
