ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,180,2026-06-03T12:56:59.447000Z,180.553,0.553,0.927000,YES,0.927000,0.954000,0.90-1.00,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.046000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,240,2026-06-03T12:56:00.888000Z,239.112,0.888,0.909500,YES,0.909500,0.929000,0.90-1.00,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.071000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,300,2026-06-03T12:54:58.890000Z,301.110,1.110,0.945000,YES,0.945000,0.950000,0.90-1.00,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.050000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,360,2026-06-03T12:54:00.730000Z,359.270,0.730,0.927500,YES,0.927500,0.965000,0.90-1.00,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.035000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,420,2026-06-03T12:52:59.780000Z,420.220,0.220,0.885000,YES,0.885000,0.890000,0.80-0.90,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.110000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,480,2026-06-03T12:52:01.051000Z,478.949,1.051,0.929500,YES,0.929500,0.939000,0.90-1.00,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.061000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,540,2026-06-03T12:50:59.691000Z,540.309,0.309,0.890000,YES,0.890000,0.900000,0.80-0.90,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.100000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,600,2026-06-03T12:49:59.128000Z,600.872,0.872,0.895000,YES,0.895000,0.900000,0.80-0.90,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.100000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,660,2026-06-03T12:49:00.431000Z,659.569,0.431,0.880500,YES,0.880500,0.881000,0.80-0.90,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.119000
KXHYPE15M-26JUN030900-00,2026-06-03T13:00:00Z,2026-06-03,2026-06-03T09:00:00-04:00,2026-06-03,9,08-11,720,2026-06-03T12:48:00.433000Z,719.567,0.433,0.740000,YES,0.740000,0.750000,0.70-0.80,YES,yes,finalized,2026-06-03T13:00:04.775218Z,1.0000,73.1848,72.6714,1,1,0.250000
