scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-1.00,120,0.60-0.85,0.60,0.85,0.25,21,178,0.117978,14,7,0.666667,0.773333,-0.106667,-2.240000,-0.012584,0.920428770186,0.036010,13,1,0.076923,-0.008735,0,0.000000,0
0.50-1.00,120,0.60-0.90,0.60,0.90,0.30,24,178,0.134831,17,7,0.708333,0.785417,-0.077083,-1.850000,-0.010393,0.879354732457,0.055836,22,1,0.045455,-0.008250,0,0.000000,0
0.50-1.00,120,0.60-0.95,0.60,0.95,0.35,39,178,0.219101,32,7,0.820513,0.839205,-0.018692,-0.729000,-0.004096,0.719795180603,0.142791,25,2,0.080000,-0.006682,0,0.000000,0
0.50-1.00,120,0.60-1.00,0.60,1.00,0.40,170,178,0.955056,162,8,0.952941,0.956241,-0.003300,-0.561000,-0.003152,0.679293816056,0.167942,17,1,0.058824,-0.006133,0,0.000000,0
0.50-1.00,120,0.65-0.70,0.65,0.70,0.05,2,178,0.011236,1,1,0.500000,0.680000,-0.180000,-0.360000,-0.002022,0.8977,0.046869,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.65-0.75,0.65,0.75,0.10,6,178,0.033708,3,3,0.500000,0.720000,-0.220000,-1.320000,-0.007416,0.94484578125,0.024639,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.65-0.80,0.65,0.80,0.15,12,178,0.067416,6,6,0.500000,0.750000,-0.250000,-3.000000,-0.016854,0.986117856852,0.006071,4,0,0.000000,-0.009118,0,0.000000,0
0.50-1.00,120,0.65-0.85,0.65,0.85,0.20,20,178,0.112360,13,7,0.650000,0.781000,-0.131000,-2.620000,-0.014719,0.948925242673,0.022768,10,1,0.100000,-0.006484,0,0.000000,0
0.50-1.00,120,0.65-0.90,0.65,0.90,0.25,23,178,0.129213,16,7,0.695652,0.792609,-0.096957,-2.230000,-0.012528,0.916655882245,0.037794,19,1,0.052632,-0.006210,0,0.000000,0
0.50-1.00,120,0.65-0.95,0.65,0.95,0.30,38,178,0.213483,31,7,0.815789,0.844974,-0.029184,-1.109000,-0.006230,0.776734264991,0.109728,24,3,0.125000,-0.004779,0,0.000000,0
0.50-1.00,120,0.65-1.00,0.65,1.00,0.35,169,178,0.949438,161,8,0.952663,0.958231,-0.005568,-0.941000,-0.005287,0.733963372001,0.134326,17,2,0.117647,-0.004268,0,0.000000,0
0.50-1.00,120,0.70-0.75,0.70,0.75,0.05,4,178,0.022472,2,2,0.500000,0.740000,-0.240000,-0.960000,-0.005393,0.94359375,0.025215,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.70-0.80,0.70,0.80,0.10,10,178,0.056180,5,5,0.500000,0.764000,-0.264000,-2.640000,-0.014831,0.985352140445,0.006409,2,0,0.000000,-0.010193,0,0.000000,0
0.50-1.00,120,0.70-0.85,0.70,0.85,0.15,18,178,0.101124,12,6,0.666667,0.792222,-0.125556,-2.260000,-0.012697,0.939443924977,0.027129,6,0,0.000000,-0.008255,0,0.000000,0
0.50-1.00,120,0.70-0.90,0.70,0.90,0.20,21,178,0.117978,15,6,0.714286,0.803333,-0.089048,-1.870000,-0.010506,0.900370624494,0.045579,14,1,0.071429,-0.005882,0,0.000000,0
0.50-1.00,120,0.70-0.95,0.70,0.95,0.25,36,178,0.202247,30,6,0.833333,0.854139,-0.020806,-0.749000,-0.004208,0.737318547796,0.132345,21,4,0.190476,-0.004165,0,0.000000,0
0.50-1.00,120,0.70-1.00,0.70,1.00,0.30,167,178,0.938202,160,7,0.958084,0.961563,-0.003479,-0.581000,-0.003264,0.692538206613,0.159556,17,4,0.235294,-0.003486,0,0.000000,0
0.50-1.00,120,0.75-0.80,0.75,0.80,0.05,6,178,0.033708,3,3,0.500000,0.780000,-0.280000,-1.680000,-0.009438,0.9761682576,0.010475,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.75-0.85,0.75,0.85,0.10,14,178,0.078652,10,4,0.714286,0.807143,-0.092857,-1.300000,-0.007303,0.885556550884,0.052784,2,0,0.000000,-0.005337,0,0.000000,0
0.50-1.00,120,0.75-0.90,0.75,0.90,0.15,17,178,0.095506,13,4,0.764706,0.818235,-0.053529,-0.910000,-0.005112,0.817936410661,0.087280,11,2,0.181818,-0.002907,0,0.000000,0
0.50-1.00,120,0.75-0.95,0.75,0.95,0.20,32,178,0.179775,28,4,0.875000,0.868406,0.006594,0.211000,0.001185,0.584723624545,0.233049,19,6,0.315789,-0.001599,164,0.006796,0
0.50-1.00,120,0.75-1.00,0.75,1.00,0.25,163,178,0.915730,158,5,0.969325,0.967000,0.002325,0.379000,0.002129,0.545725158171,0.263026,17,6,0.352941,-0.001214,164,0.006796,0
0.50-1.00,120,0.80-0.85,0.80,0.85,0.05,8,178,0.044944,7,1,0.875000,0.827500,0.047500,0.380000,0.002135,0.586464566839,0.231758,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,120,0.80-0.90,0.80,0.90,0.10,11,178,0.061798,10,1,0.909091,0.839091,0.070000,0.770000,0.004326,0.451019155259,0.345805,8,2,0.250000,-0.001426,0,0.000000,0
0.50-1.00,120,0.80-0.95,0.80,0.95,0.15,26,178,0.146067,25,1,0.961538,0.888808,0.072731,1.891000,0.010624,0.195155810023,0.709619,16,7,0.437500,-0.000053,164,0.006796,0
0.50-1.00,120,0.80-1.00,0.80,1.00,0.20,157,178,0.882022,155,2,0.987261,0.974146,0.013115,2.059000,0.011567,0.214341789347,0.668893,16,7,0.437500,-0.000112,164,0.006796,0
0.50-1.00,120,0.85-0.90,0.85,0.90,0.05,3,178,0.016854,3,0,1.000000,0.870000,0.130000,0.390000,0.002191,0.658416,0.181500,5,1,0.200000,-0.001049,0,0.000000,0
