scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-0.80,240,0.55-0.75,0.55,0.75,0.20,14,185,0.075676,9,5,0.642857,0.674286,-0.031429,-0.440000,-0.002378,0.712740394163,0.147069,14,5,0.357143,-0.000923,0,0.000000,0
0.50-0.80,240,0.55-0.80,0.55,0.80,0.25,21,185,0.113514,12,9,0.571429,0.709048,-0.137619,-2.890000,-0.015622,0.946121937516,0.024053,12,4,0.333333,-0.001230,0,0.000000,0
0.50-0.80,240,0.60-0.65,0.60,0.65,0.05,5,185,0.027027,3,2,0.600000,0.626000,-0.026000,-0.130000,-0.000703,0.726537041,0.138742,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.60-0.70,0.60,0.70,0.10,7,185,0.037838,5,2,0.714286,0.641429,0.072857,0.510000,0.002757,0.512523969405,0.290286,2,1,0.500000,0.001108,0,0.000000,0
0.50-0.80,240,0.60-0.75,0.60,0.75,0.15,13,185,0.070270,9,4,0.692308,0.681538,0.010769,0.140000,0.000757,0.598313421573,0.223071,7,2,0.285714,-0.003568,0,0.000000,0
0.50-0.80,240,0.60-0.80,0.60,0.80,0.20,20,185,0.108108,12,8,0.600000,0.715500,-0.115500,-2.310000,-0.012486,0.916601565539,0.037819,6,2,0.333333,-0.002081,0,0.000000,0
0.50-0.80,240,0.65-0.70,0.65,0.70,0.05,2,185,0.010811,2,0,1.000000,0.680000,0.320000,0.640000,0.003459,0.462,0.335358,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.65-0.75,0.65,0.75,0.10,8,185,0.043243,6,2,0.750000,0.716250,0.033750,0.270000,0.001459,0.593186228842,0.226809,2,0,0.000000,-0.008108,0,0.000000,0
0.50-0.80,240,0.65-0.80,0.65,0.80,0.15,15,185,0.081081,9,6,0.600000,0.745333,-0.145333,-2.180000,-0.011784,0.938856598315,0.027401,2,0,0.000000,-0.008108,0,0.000000,0
0.50-0.80,240,0.70-0.75,0.70,0.75,0.05,6,185,0.032432,4,2,0.666667,0.728333,-0.061667,-0.370000,-0.002000,0.7950553375,0.099603,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.70-0.80,0.70,0.80,0.10,13,185,0.070270,7,6,0.538462,0.755385,-0.216923,-2.820000,-0.015243,0.978681897778,0.009358,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,240,0.75-0.80,0.75,0.80,0.05,7,185,0.037838,3,4,0.428571,0.778571,-0.350000,-2.450000,-0.013243,0.992580212825,0.003234,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,255,0.50-0.55,0.50,0.55,0.05,3,185,0.016216,2,1,0.666667,0.533333,0.133333,0.400000,0.002162,0.549936,0.259688,0,0,0.000000,0.000000,0,0.000000,0
