UP,FLAT,DOWN,ALL,v3.2,v3p1_on_UP,v3p1_on_FLAT,v3p1_on_DOWN
-0.06388287742562382,0.11206915691291948,0.039626031188907965,0.12860590403439393,0.11901388153414698,0.014169737770439469,0.030546911367121114,0.08388925489683334
0.11909244889973172,0.0693248481761035,-0.025016454163259223,0.05636429882416239,0.02740013642869121,-0.0019111101697518458,0.030532151301167994,0.027743257692746243
-0.034502664789811004,0.04481874532175472,0.13763307874104952,0.049812553527088146,-0.019254426415905412,0.01725900033079515,-0.0016137547970700389,0.03416730799336303
-0.06246811811873399,-0.010904288651945345,0.020972506785483232,0.0662810222005555,0.035654152937179676,0.0305558948654026,0.016908843392762798,0.018816283942390096
-0.050649963632684626,-0.09598175356980704,0.38499104527449807,0.14493953897973622,0.13291054007207406,0.0015047023006936765,0.05683612732575636,0.0865987093532862
0.12987770566277543,0.013435095885707002,0.04695663771545553,0.028549311201318418,-0.023702910065818435,0.016218164471390937,-0.03467465833324183,0.04700580506316931
-0.09334695507115,-0.0026470504529106332,0.0734860410300891,-0.0007614265338348192,-0.0450064505136091,0.024457840880010517,0.0007415913529934901,-0.025960858766838825
-0.09700526243817398,0.005716191645791378,0.06556991577948715,0.05274708715564694,0.16761458782805946,0.008599125060341224,0.015666909921090287,0.028481052174215427
-0.034098762028674984,0.038875553191207626,0.031456021373854615,0.07818599620857332,0.04508119424311926,0.044519933839954166,0.010369097975478287,0.023296964393140863
-0.053510702259715257,0.1781114621834338,0.11591607066312232,0.06990510004166794,0.1133829801061758,-0.04111574586306487,0.011815835074757912,0.0992050108299749
0.09066842422528343,-0.18551551584962525,-0.004976363147913243,0.048712463909002475,0.029181687802854572,0.01043997182934852,0.04589092448844302,-0.0076184324087890665
-0.11842129692639021,0.1079746944018307,0.12051656235488947,0.06746610132746486,0.035900428271474674,0.03690692240066688,0.03972988679319128,-0.009170707866393306
0.11154398259245936,-0.003939610398722243,0.07839668397225381,0.105334546338508,0.10630365326794854,-0.024499672301014172,0.03951809858214781,0.09031612005737437
-0.025370764191981726,0.04322179828442709,0.1089919896164586,0.04932579100028499,0.02426937603507822,0.007055400858752946,0.013866848724496922,0.028403541417035123
0.08078040189463127,0.033132824115397,0.1699123410538591,0.07419014654423783,0.07972984642492217,0.0021670612068374014,0.030395433273492298,0.04162765206390814
0.13078158808255053,-0.07287050835412526,0.25490325463111857,0.11299956364013879,0.104011900269491,0.003165710730400423,0.06940352385829186,0.04043032905144651
-0.14170697057137463,-0.12645428869459469,0.1462922235376446,0.10210458166603255,0.09109621569491719,-0.006198872433929862,0.03712170560198213,0.07118174849798029
-0.028659822820437924,0.01745105146941074,-0.15446682937403577,0.0018802360750545717,0.01887962045558522,-0.011625221807439363,-0.01194916951435357,0.025454627396847507
-0.1654209151288352,0.022116898426833825,0.15362801110952395,0.057232039112132684,0.06838882564507756,0.0028357359373258066,0.020318568082940563,0.03407773509186631
-0.0069960943541800815,0.025960891699044558,0.21831341545529112,0.0904250786048682,0.02614508136046098,0.07399263960923769,-0.043598873492745924,0.06003131248837645
-0.04010224527005989,-0.023748478171649448,-0.014082026361298627,0.12720148909890533,0.13185896001436187,0.010028794478422453,0.03537357983172425,0.08179911478875863
-0.10672089119359757,0.014674335095747225,0.15392347229938907,0.11146984233755784,0.0736166127928355,0.038197016098240236,0.07958967202887621,-0.006316845789558603
0.08479457628412508,0.08182472349353545,0.05784054660967472,0.06980584163963433,0.00956048850750071,0.02307211962308094,0.024473953177885012,0.022259768838668374
0.09643607010066613,-0.19453971977878243,-0.0058608661399998496,0.045761603832333075,0.05487185971992069,-0.020674486226169707,0.013567141602152834,0.05286894845634995
-0.06010838306634213,0.056921573978393356,0.01143397288948711,0.041129379716617766,0.02484130319815107,-0.017124622643139516,0.005597799301126089,0.052656203058631196
-0.029679415506770133,0.1757746974950458,0.12881867995976373,-0.0006255244918376454,0.044334578173735956,-0.03452672395426884,0.005175804011789331,0.02872539545064186
-0.002743957610898981,-0.17055863236021282,0.07454501148270971,0.005501678512066194,0.004390815312788252,-0.016516253047798746,0.033735386867071546,-0.011717455307206604
-0.056437411335819546,0.0641790404468515,-0.02924014072192927,0.05506236780073175,0.12011222647703303,0.013296772126972443,0.05698219074139273,-0.015216595067633423
-0.15452761760887404,-0.037583479789103945,-0.026737949721862067,0.031739581853684515,0.026813260401666802,-0.012326985634141304,0.005889178537141086,0.03817738895068473
0.020062013207783707,0.042464552952363635,0.04285840586785073,0.1490235000165812,0.17261478729888552,0.030649767926407362,0.04760571059273811,0.07076802149743575
-0.05048509048736814,-0.08909078442242659,-0.03285882370809233,-0.006311680936694597,0.004365257466959028,-0.005408073254494841,-0.008692391891445047,0.007788784209245292
-0.049810014787943634,0.03193543260031706,0.0882510271764762,0.15502098794412242,0.11084285950107964,0.01104164929806478,0.056774947770157375,0.08720439087590025
-0.13486663958975798,0.11142319945788093,-0.07072629798797597,0.10351253293249993,-0.003398540911060304,0.022604419957490476,0.03932835245814005,0.04157976051686939
0.06132825380623704,-0.046845221871637775,0.19630874635292248,-0.0181835035940219,0.011580605411642016,-0.028273058444151677,0.010281631238099794,-0.00019207638797001997
-0.02759625905189687,-0.017308272811387318,-0.017193381435381783,0.0677087382307122,0.026229812136023024,0.007418895263220079,0.04511082068240365,0.01517902228508848
-0.013466526674247041,0.1743328047755412,0.04550429211984305,0.09788161601819555,0.03400648767448103,0.017440102103548263,0.02935943682144502,0.051082077093202276
0.056485506286897726,0.08653623552155117,0.052238281864956264,-0.014069503083926143,-0.014552694411001883,-0.04108768771495227,0.025445199688337562,0.0015729849426885662
-0.019760997885371806,0.09393056404367274,0.11251337874139798,0.06553300801417675,0.07022921154576153,0.012515825062651895,0.04544342564280085,0.007573757308724006
-0.03867637436183627,0.18047059696039014,-0.12044501470766875,0.10100762410211463,-2.7026873596758262e-05,-0.040469668759616224,0.04370796168430689,0.09776933117742398
-0.09787289448602994,-0.10963224633445183,0.04003711991656921,0.08974295332380192,0.11776966714956727,0.034547478530048296,0.03292499862398925,0.022270476169764367
-0.11387370704765828,0.17627260444902773,0.08825852976803802,0.09901361305034125,0.12157693275080252,0.01716753058254505,-0.008656018975830784,0.09050210144362697
0.013655432584341798,0.0003098468495163767,-0.02040408989317019,0.024712512360549273,0.029600850468256636,0.0057687410959568804,0.013208940087643003,0.005734831176949393
0.0643186811449089,0.0857794595432598,0.06711937626689066,0.04983066267774336,0.05995006213900487,-0.01701815134618922,-0.009051102605869188,0.07589991662980176
-0.03284523756140465,0.0546219656276672,-0.0520583804427963,0.05717470803208276,0.03429397729897965,0.012172197637611636,0.048435672870630594,-0.0034331624761594843
-0.026528699834067734,0.02370378871436091,0.0856762747145457,-0.05370778690635035,-0.057446071139247955,-0.01784629081397264,-0.029105184672047493,-0.006756311420330212
-0.024521112420952108,-0.003884086776151378,0.07878467225546767,0.028356605459461105,0.04833509272371287,-0.0041957303618928915,0.018028733156980625,0.014523602664373374
0.05688202303388237,-0.024553504180604813,0.0005635903025253781,0.05059788283040956,0.048224518231502304,-0.007790497117938812,0.030685006167078702,0.027703373781269663
-0.07523785502496654,0.15640005033052135,-0.047868612159101605,0.047008364117959354,0.09263332137082851,-0.014148677915140752,0.0018554399625009981,0.05930160207059911
-0.04599333644619352,0.22071492759690187,0.15811009985197302,0.01870657626117436,0.012543349360407739,0.022180972050462284,-0.0036915577830523116,0.00021716199376438836
0.08956660485207699,0.15468892087139713,0.19988454361748384,0.00403989324581767,0.02632802859729334,-0.028609794088392485,0.009337809506888242,0.02331187782732191
-0.13113797908820937,-0.07327035011470578,0.18091500428864216,0.031454080842763577,0.032636949816368103,0.022951340393328534,-0.017898126038549657,0.0264008664879847
