label,t_seconds,t_minutes,band_low,band_high,band_center,band_width,n_contracts,n_traded,trade_rate,total_net_pnl_after_fee,ev_per_available_contract_after_fee,ev_per_traded_contract_after_fee,se_ev_all,ci95_low_ev_all,ci95_high_ev_all,success_rate_traded,avg_mid_p_traded,avg_cost_traded,avg_fee_traded,local_mean_ev_all,local_std_ev_all,local_min_ev_all,local_positive_fraction,stability_score,bootstrap_raw_winner_frequency,bootstrap_prob_ev_positive,bootstrap_mean_ev_all
"T=180s [0.85,1.00)",180,3.0,0.85,1.0,0.925,0.15000000000000002,186,144,0.7741935483870968,-2.839756649999999,-0.015267508870967738,-0.019720532291666662,0.013221217620870593,-0.041181095407874097,0.010646077665938624,0.9513888888888888,0.9674270833333334,0.9691041666666665,0.0020052545138888895,-0.005581808227598564,0.008022377872987575,-0.020723015215053767,0.23333333333333334,-0.04920347328086167,0.0,0.106,-0.015535582736505394
"T=180s [0.90,0.95)",180,3.0,0.9,0.95,0.925,0.04999999999999993,186,29,0.15591397849462366,-1.0603855800000004,-0.005700997741935486,-0.036565020000000004,0.008815520679248508,-0.02297941827326256,0.011577422789391589,0.896551724137931,0.9264655172413793,0.9284827586206896,0.004633985517241378,-0.0029044237491039414,0.007536459133583587,-0.016202257150537636,0.36666666666666664,-0.030515877406846147,0.0,0.277,-0.005700817299731181
"T=180s [0.90,1.00)",180,3.0,0.9,1.0,0.95,0.09999999999999998,186,135,0.7258064516129032,-0.8865223999999992,-0.004766249462365587,-0.006566832592592586,0.01026395902767556,-0.024883609156609685,0.01535111023187851,0.9703703703703703,0.9738666666666668,0.9753037037037037,0.0016334992592592597,-0.0030804889870967717,0.007692947504660954,-0.016202257150537636,0.36,-0.03257655666127064,0.0,0.347,-0.004872677104784951
"T=180s [0.95,1.00)",180,3.0,0.95,1.0,0.975,0.050000000000000044,186,106,0.5698924731182796,0.17386318000000112,0.0009347482795698985,0.0016402186792452932,0.00525146068138963,-0.009358114655953775,0.011227611215093573,0.9905660377358491,0.9868349056603775,0.9881132075471699,0.000812611509433963,-0.002013875268817201,0.006820971193457753,-0.014642695322580642,0.3333333333333333,-0.016179085849411527,0.0,0.693,0.000828140194946242
"T=210s [0.50,0.55)",210,3.5,0.5,0.55,0.525,0.050000000000000044,186,2,0.010752688172043012,-1.124713,-0.006046844086021506,-0.5623565,0.004264360915736303,-0.01440499148086466,0.002311303308821647,0.0,0.54,0.545,0.0173565,-0.003230031541218638,0.00614988703421315,-0.015331693548387098,0.3333333333333333,-0.02055487851507781,0.0,0.0,-0.006220434623655918
"T=210s [0.50,0.60)",210,3.5,0.5,0.6,0.55,0.09999999999999998,186,8,0.043010752688172046,-1.7464929999999999,-0.009389747311827956,-0.21831162499999998,0.007962215348058334,-0.02499568939402229,0.006216194770366378,0.375,0.57125,0.5762499999999999,0.017061625,-0.00469167247311828,0.008928327897210002,-0.027223440860215057,0.36,-0.03392401729123229,0.0,0.109,-0.009732381521505363
"T=210s [0.50,0.65)",210,3.5,0.5,0.65,0.575,0.15000000000000002,186,13,0.06989247311827956,-2.997658,-0.016116440860215055,-0.23058907692307692,0.010257050935806748,-0.03622026069439628,0.003987378973966171,0.38461538461538464,0.5934615384615385,0.5984615384615384,0.016742923076923082,-0.005371923835125447,0.010077286561242058,-0.027223440860215057,0.36666666666666664,-0.04629754725563834,0.0,0.049,-0.016489680048387075
"T=210s [0.50,0.70)",210,3.5,0.5,0.7,0.6,0.19999999999999996,186,16,0.08602150537634409,-2.083298,-0.01120052688172043,-0.130206125,0.010679607317760447,-0.03213255722453091,0.009731503461090045,0.5,0.60875,0.61375,0.016456125000000002,-0.00481141917562724,0.01145064936723087,-0.027223440860215057,0.4,-0.04358320659176178,0.0,0.138,-0.01159045271505377
"T=210s [0.50,0.75)",210,3.5,0.5,0.75,0.625,0.25,186,24,0.12903225806451613,-2.0625749999999994,-0.011089112903225803,-0.08594062499999998,0.012563906767514265,-0.035714370167553765,0.013536144361102157,0.5833333333333334,0.6485416666666667,0.6537499999999999,0.015523958333333336,-0.004372490143369176,0.011571470314121231,-0.029254505376344084,0.4,-0.047285840481674994,0.0,0.165,-0.011673330645161292
"T=210s [0.50,0.80)",210,3.5,0.5,0.8,0.65,0.30000000000000004,186,32,0.17204301075268819,-2.3504700000000005,-0.012636935483870971,-0.07345218749999999,0.01420350601542966,-0.0404758072741131,0.015201936306371162,0.625,0.6785937499999999,0.6837500000000001,0.014702187500000002,-0.005294281541218639,0.013895864645523887,-0.04160275806451613,0.43333333333333335,-0.05437167191963699,0.0,0.165,-0.013398434634408606
