contract_id,file,t_seconds,timestamp_utc,close_time,remaining_seconds,yes_mid,selected_side,selected_label,selected_mid,selected_ask,selected_ask_qty,entry_spot,entry_target,entry_delta,spot_agrees,actual_label,actual_side,success,fee,net_pnl,final_price,final_target
KXBTC15M-26JUN031015-15,cli_predictor_polymarket_KXBTC15M-26JUN031015-15.csv,600,2026-06-03T14:05:02.265Z,2026-06-03T14:15:00+00:00,597.735,0.255,NO,0,0.745,0.75,15.0,66687.27,66803.07,-115.80000000000291,True,1,YES,False,0.013125000000000001,-0.763125,66805.46,66803.07
KXBTC15M-26JUN031015-15,cli_predictor_polymarket_KXBTC15M-26JUN031015-15.csv,630,2026-06-03T14:04:28.817Z,2026-06-03T14:15:00+00:00,631.183,0.255,NO,0,0.745,0.75,981.1,66735.76,66803.07,-67.31000000001222,True,1,YES,False,0.013125000000000001,-0.763125,66805.46,66803.07
KXBTC15M-26JUN031030-30,cli_predictor_polymarket_KXBTC15M-26JUN031030-30.csv,600,2026-06-03T14:19:58.183Z,2026-06-03T14:30:00+00:00,601.817,0.225,NO,0,0.775,0.78,290.0,66693.08,66766.15,-73.06999999999243,True,0,NO,True,0.012012,0.20798799999999998,66617.52,66766.15
KXBTC15M-26JUN031030-30,cli_predictor_polymarket_KXBTC15M-26JUN031030-30.csv,630,2026-06-03T14:19:28.738Z,2026-06-03T14:30:00+00:00,631.262,0.215,NO,0,0.785,0.79,805.04,66708.61,66766.15,-57.5399999999936,True,0,NO,True,0.011613,0.19838699999999995,66617.52,66766.15
KXBTC15M-26JUN031045-45,cli_predictor_polymarket_KXBTC15M-26JUN031045-45.csv,600,2026-06-03T14:34:58.729Z,2026-06-03T14:45:00+00:00,601.271,0.585,YES,1,0.585,0.59,323.36,66658.55,66641.35,17.19999999999709,True,1,YES,True,0.016933000000000004,0.39306700000000006,66654.02,66641.35
KXBTC15M-26JUN031045-45,cli_predictor_polymarket_KXBTC15M-26JUN031045-45.csv,630,2026-06-03T14:34:27.534Z,2026-06-03T14:45:00+00:00,632.466,0.49,NO,0,0.51,0.52,18.33,66628.28,66641.35,-13.070000000006985,True,1,YES,False,0.017472,-0.5374720000000001,66654.02,66641.35
KXBTC15M-26JUN031100-00,cli_predictor_polymarket_KXBTC15M-26JUN031100-00.csv,600,2026-06-03T14:49:57.703Z,2026-06-03T15:00:00+00:00,602.297,0.645,YES,1,0.645,0.65,2941.68,66736.43,66667.54,68.88999999999942,True,1,YES,True,0.015925,0.33407499999999996,66762.66,66667.54
KXBTC15M-26JUN031100-00,cli_predictor_polymarket_KXBTC15M-26JUN031100-00.csv,630,2026-06-03T14:49:28.887Z,2026-06-03T15:00:00+00:00,631.113,0.735,YES,1,0.735,0.74,1834.73,66745.43,66667.54,77.88999999999942,True,1,YES,True,0.013468000000000003,0.246532,66762.66,66667.54
KXBTC15M-26JUN031115-15,cli_predictor_polymarket_KXBTC15M-26JUN031115-15.csv,600,2026-06-03T15:05:01.701Z,2026-06-03T15:15:00+00:00,598.299,0.255,NO,0,0.745,0.75,438.2,66690.59,66762.99,-72.40000000000873,True,0,NO,True,0.013125000000000001,0.236875,66442.28,66762.99
KXBTC15M-26JUN031130-30,cli_predictor_polymarket_KXBTC15M-26JUN031130-30.csv,600,2026-06-03T15:19:59.614Z,2026-06-03T15:30:00+00:00,600.386,0.125,NO,0,0.875,0.88,144.0,66301.33,66430.41,-129.08000000000175,True,1,YES,False,0.007392000000000001,-0.887392,66498.09,66430.41
KXBTC15M-26JUN031130-30,cli_predictor_polymarket_KXBTC15M-26JUN031130-30.csv,630,2026-06-03T15:19:28.892Z,2026-06-03T15:30:00+00:00,631.108,0.2,NO,0,0.8,0.81,1270.33,66301.44,66430.41,-128.97000000000116,True,1,YES,False,0.010772999999999998,-0.8207730000000001,66498.09,66430.41
KXBTC15M-26JUN031145-45,cli_predictor_polymarket_KXBTC15M-26JUN031145-45.csv,600,2026-06-03T15:34:57.531Z,2026-06-03T15:45:00+00:00,602.469,0.0765,NO,0,0.9235,0.924,196.04,66301.08,66478.11,-177.02999999999884,True,0,NO,True,0.004915679999999999,0.07108431999999995,66251.93,66478.11
KXBTC15M-26JUN031145-45,cli_predictor_polymarket_KXBTC15M-26JUN031145-45.csv,630,2026-06-03T15:34:28.333Z,2026-06-03T15:45:00+00:00,631.667,0.235,NO,0,0.765,0.77,937.71,66342.6,66478.11,-135.50999999999476,True,0,NO,True,0.012397,0.217603,66251.93,66478.11
KXBTC15M-26JUN031200-00,cli_predictor_polymarket_KXBTC15M-26JUN031200-00.csv,600,2026-06-03T15:49:58.016Z,2026-06-03T16:00:00+00:00,601.984,0.405,NO,0,0.595,0.6,1235.0,66185.01,66248.05,-63.04000000000815,True,0,NO,True,0.016800000000000002,0.38320000000000004,66034.41,66248.05
KXBTC15M-26JUN031200-00,cli_predictor_polymarket_KXBTC15M-26JUN031200-00.csv,630,2026-06-03T15:49:31.775Z,2026-06-03T16:00:00+00:00,628.225,0.335,NO,0,0.665,0.67,4172.42,66095.59,66248.05,-152.4600000000064,True,0,NO,True,0.015477,0.31452299999999994,66034.41,66248.05
KXBTC15M-26JUN031215-15,cli_predictor_polymarket_KXBTC15M-26JUN031215-15.csv,600,2026-06-03T16:04:58.088Z,2026-06-03T16:15:00+00:00,601.912,0.655,YES,1,0.655,0.66,1065.58,66033.55,65999.19,34.36000000000058,True,1,YES,True,0.015708,0.32429199999999997,66095.15,65999.19
KXBTC15M-26JUN031215-15,cli_predictor_polymarket_KXBTC15M-26JUN031215-15.csv,630,2026-06-03T16:04:30.102Z,2026-06-03T16:15:00+00:00,629.898,0.575,YES,1,0.575,0.58,23.0,66009.48,65999.19,10.289999999993597,True,1,YES,True,0.017052000000000005,0.40294800000000003,66095.15,65999.19
KXBTC15M-26JUN031230-30,cli_predictor_polymarket_KXBTC15M-26JUN031230-30.csv,600,2026-06-03T16:19:59.371Z,2026-06-03T16:30:00+00:00,600.629,0.265,NO,0,0.735,0.74,50.0,65898.11,66090.09,-191.97999999999593,True,0,NO,True,0.013468000000000003,0.246532,65551.46,66090.09
KXBTC15M-26JUN031230-30,cli_predictor_polymarket_KXBTC15M-26JUN031230-30.csv,630,2026-06-03T16:19:30.816Z,2026-06-03T16:30:00+00:00,629.184,0.215,NO,0,0.785,0.79,2817.46,65898.11,66090.09,-191.97999999999593,True,0,NO,True,0.011613,0.19838699999999995,65551.46,66090.09
KXBTC15M-26JUN031245-45,cli_predictor_polymarket_KXBTC15M-26JUN031245-45.csv,600,2026-06-03T16:35:00.069Z,2026-06-03T16:45:00+00:00,599.931,0.735,YES,1,0.735,0.74,4370.35,65705.6,65545.71,159.88999999999942,True,1,YES,True,0.013468000000000003,0.246532,65857.97,65545.71
KXBTC15M-26JUN031245-45,cli_predictor_polymarket_KXBTC15M-26JUN031245-45.csv,630,2026-06-03T16:34:28.016Z,2026-06-03T16:45:00+00:00,631.984,0.77,YES,1,0.77,0.78,2274.34,65627.79,65545.71,82.0799999999872,True,1,YES,True,0.012012,0.20798799999999998,65857.97,65545.71
KXBTC15M-26JUN031300-00,cli_predictor_polymarket_KXBTC15M-26JUN031300-00.csv,600,2026-06-03T16:50:01.232Z,2026-06-03T17:00:00+00:00,598.768,0.475,NO,0,0.525,0.53,28.0,65948.0,65831.96,116.0399999999936,False,1,YES,False,0.017437,-0.5474370000000001,65937.98,65831.96
KXBTC15M-26JUN031300-00,cli_predictor_polymarket_KXBTC15M-26JUN031300-00.csv,630,2026-06-03T16:49:27.694Z,2026-06-03T17:00:00+00:00,632.306,0.555,YES,1,0.555,0.56,335.0,65872.38,65831.96,40.419999999998254,True,1,YES,True,0.017248,0.42275199999999996,65937.98,65831.96
KXBTC15M-26JUN031315-15,cli_predictor_polymarket_KXBTC15M-26JUN031315-15.csv,600,2026-06-03T17:05:02.103Z,2026-06-03T17:15:00+00:00,597.897,0.155,NO,0,0.845,0.85,325.37,65871.51,65970.37,-98.86000000000058,True,0,NO,True,0.008925000000000002,0.141075,65698.58,65970.37
KXBTC15M-26JUN031315-15,cli_predictor_polymarket_KXBTC15M-26JUN031315-15.csv,630,2026-06-03T17:04:29.770Z,2026-06-03T17:15:00+00:00,630.23,0.185,NO,0,0.815,0.82,183.65,65828.26,65970.37,-142.11000000000058,True,0,NO,True,0.010332000000000003,0.16966800000000004,65698.58,65970.37
KXBTC15M-26JUN031330-30,cli_predictor_polymarket_KXBTC15M-26JUN031330-30.csv,600,2026-06-03T17:19:57.303Z,2026-06-03T17:30:00+00:00,602.697,0.88,YES,1,0.88,0.89,1498.95,65723.54,65645.03,78.50999999999476,True,1,YES,True,0.006853,0.10314699999999999,65851.66,65645.03
