ts_unix,open,high,low,close,vwap,volume
1780444800,66669.7,67083.3,66569.5,66841.4,66813.3,221.5913661
1780448400,66841.5,66963.0,66384.8,66840.0,66698.6,160.56834306
1780452000,66840.0,66840.0,66510.1,66526.0,66674.0,38.3360746
1780455600,66525.2,66569.9,65379.8,65770.5,65857.5,285.91952506
1780459200,65770.5,66526.8,65754.7,66379.3,66280.7,92.53566663
1780462800,66379.3,67306.7,66379.3,67237.1,67016.7,155.13785104
1780466400,67235.9,67420.0,66873.9,66877.6,67171.6,69.16863548
1780470000,66877.6,67226.0,66786.3,67130.6,67071.0,40.80373276
1780473600,67129.3,67155.0,66883.0,66930.1,66991.1,41.79838895
1780477200,66930.2,67212.1,66556.6,66977.7,66745.7,91.42998158
1780480800,66975.9,67374.9,66969.7,67195.5,67151.0,117.13031804
1780484400,67200.0,67262.4,66969.7,66985.0,67126.4,63.90214397
1780488000,66985.0,67060.1,66705.1,66985.1,66924.9,63.29096051
1780491600,66988.8,67140.0,66533.0,66789.1,66878.8,142.55631272
1780495200,66798.5,66893.8,66544.1,66766.3,66681.5,98.44142312
1780498800,66766.1,66780.0,66000.0,66000.0,66342.1,264.34145784
1780502400,66000.1,66250.0,65480.1,65976.2,65792.4,263.70971154
1780506000,65979.0,66090.0,65620.8,65872.8,65807.6,154.12621645
1780509600,65872.2,66059.9,65669.9,65965.9,65909.6,130.51908741
1780513200,65964.1,65976.6,65187.4,65376.1,65565.9,227.76925947
1780516800,65375.9,65521.6,64688.0,64903.1,65103.2,288.57523724
1780520400,64903.2,65761.5,64869.0,65672.1,65295.4,210.40468912
1780524000,65684.5,65730.0,64688.0,64810.1,64955.7,199.73223705
1780527600,64810.0,64883.7,64000.0,64035.8,64356.1,356.35596964
1780531200,64036.1,64320.0,62920.5,63245.0,63447.4,569.3318529
1780534800,63244.3,63399.3,62038.6,62099.9,62636.4,549.66907489
1780538400,62100.0,63553.4,61255.9,63153.0,62357.2,918.12833589
1780542000,63153.0,64444.0,63153.0,64290.0,64031.3,411.06212411
1780545600,64290.0,64686.1,64214.7,64327.7,64450.2,162.78231898
1780549200,64327.7,64327.7,63605.2,63898.8,64005.5,435.38989632
1780552800,63898.3,64403.8,63825.0,63979.6,64153.4,154.10508075
1780556400,63979.6,63996.0,63351.3,63525.1,63699.5,222.6770308
1780560000,63543.0,63826.8,63197.0,63546.1,63396.8,226.37911894
1780563600,63546.1,63569.9,62650.0,63179.1,62983.5,129.0783401
1780567200,63179.1,63179.4,62238.6,62353.0,62515.1,231.67407476
1780570800,62352.9,62755.0,62038.8,62476.1,62271.7,485.74652827
1780574400,62479.2,63915.9,62312.4,63706.9,63170.7,188.82906454
1780578000,63707.0,64203.3,63016.3,64150.0,63478.3,519.05571079
1780581600,64157.0,64434.8,63750.0,63897.1,64071.9,283.23914782
1780585200,63897.2,64326.6,63628.1,63826.7,63997.0,192.27948121
1780588800,63826.8,63858.0,63384.2,63485.7,63579.2,98.6837446
1780592400,63485.8,63645.8,62897.0,63460.1,63141.2,174.57905208
1780596000,63460.0,64032.4,63052.0,63746.1,63664.5,155.66644242
1780599600,63742.4,64072.0,63455.1,63547.7,63743.9,221.04091109
1780603200,63538.5,63596.9,63118.5,63575.7,63337.5,77.84482407
1780606800,63570.3,63797.5,63057.2,63233.0,63445.6,202.0178106
1780610400,63233.0,63695.5,63150.3,63677.4,63364.3,75.26013371
1780614000,63674.1,63850.0,63317.7,63814.0,63628.8,60.97581968
1780617600,63811.1,63905.3,63339.4,63366.7,63672.4,108.73728263
1780621200,63366.7,63475.4,62962.6,63305.4,63233.6,117.29376438
1780624800,63296.2,63374.5,62530.0,62544.2,62766.0,239.42329652
1780628400,62549.7,62814.0,62283.4,62648.3,62545.6,245.03214439
1780632000,62665.3,63568.7,62443.6,63521.2,62967.9,123.94326082
1780635600,63529.6,63614.6,62220.0,62272.7,62904.1,122.09869474
1780639200,62271.1,62560.4,61100.0,61894.4,61754.2,492.10530313
1780642800,61891.0,63043.1,61319.7,63043.1,62372.6,183.82662839
1780646400,63049.8,63049.8,62246.1,62397.3,62650.9,213.5677898
1780650000,62407.5,63194.8,62398.1,62813.4,62831.5,142.75084049
1780653600,62813.4,62887.9,62330.1,62496.6,62566.0,89.18516427
1780657200,62496.6,62577.0,61920.0,61920.0,62206.7,95.98045019
1780660800,61918.4,62388.1,61561.8,61918.3,61950.1,308.47794894
1780664400,61918.4,62268.4,60700.0,60700.1,61466.9,745.70203031
1780668000,60700.1,61179.7,60331.0,60838.6,60733.9,1131.75567252
1780671600,60844.8,61074.1,60000.0,60400.1,60336.8,980.89345075
1780675200,60400.1,61517.2,59764.0,61368.8,60614.8,665.51854031
1780678800,61368.7,61459.3,60612.4,60746.9,60896.1,222.33264705
1780682400,60747.0,60910.0,59107.5,59344.3,59767.5,633.70669604
1780686000,59356.4,60426.0,59070.6,60287.6,59597.8,554.38817121
1780689600,60260.4,61741.1,59922.8,61608.7,60939.9,605.87873705
1780693200,61604.4,61957.6,61424.6,61662.2,61757.4,353.28702871
1780696800,61657.1,61940.6,61117.8,61566.8,61543.0,222.698784
1780700400,61573.4,61738.5,60508.1,61037.9,60950.9,149.86255556
1780704000,61038.3,61496.2,61038.2,61248.4,61268.8,95.68357662
1780707600,61248.4,61355.0,60929.6,61030.0,61234.6,124.48424291
1780711200,61031.1,61150.0,60654.6,60942.1,60912.3,38.37332952
1780714800,60927.1,60927.4,60522.7,60671.7,60711.4,94.0533403
1780718400,60671.7,60851.0,59493.5,60080.3,60009.7,279.75226601
1780722000,60080.3,61010.4,59614.4,60911.8,60538.4,158.00121637
1780725600,60911.8,61226.4,60671.9,60743.1,60977.4,72.57426909
1780729200,60743.1,61199.0,60709.3,60974.0,60864.4,155.80354002
1780732800,60974.2,61462.5,60853.3,61223.5,61180.2,32.72197352
1780736400,61237.2,61299.0,60872.9,60944.8,61112.0,47.68807756
1780740000,60951.3,60951.3,60196.7,60579.8,60540.6,101.02385916
1780743600,60579.7,60923.3,60518.0,60761.9,60737.3,37.54839716
1780747200,60761.9,61154.1,60624.4,60988.9,60867.0,39.27516576
1780750800,60995.3,61075.2,60682.6,60775.9,60870.8,24.79155687
1780754400,60784.0,60985.7,60747.8,60769.1,60919.7,47.39616438
1780758000,60768.3,60879.5,60384.9,60746.3,60672.7,78.85620847
1780761600,60746.3,60920.6,60466.8,60758.3,60676.2,32.72637453
1780765200,60759.5,60814.5,60495.0,60558.3,60692.0,38.74949668
1780768800,60558.3,60716.8,60377.5,60606.1,60510.2,28.61115964
1780772400,60609.3,60748.1,60485.1,60575.3,60555.4,168.09094434
1780776000,60574.1,60719.7,60500.0,60682.6,60620.8,56.56230748
1780779600,60681.1,60959.9,60680.7,60725.2,60814.7,32.64720505
1780783200,60725.2,60786.6,60413.1,60529.6,60544.7,35.93510445
1780786800,60525.1,60894.1,60515.4,60855.7,60769.5,20.52226949
1780790400,60858.0,60937.9,60714.4,60757.4,60823.2,17.69007251
1780794000,60757.4,61603.5,60734.9,61455.8,61372.8,174.11310308
1780797600,61455.8,61538.7,61172.4,61488.3,61320.5,43.33725264
1780801200,61488.3,61725.4,61396.5,61678.4,61607.1,79.07027835
1780804800,61678.4,61868.3,61469.1,61863.1,61666.0,39.04200076
1780808400,61863.1,62301.1,61629.7,61734.8,61868.8,147.00001903
