sample,profit_margin,profit_margin_cents,universe_contracts,base_divergences,base_divergence_rate,occurrence_contracts,occurrence_rate,divergent_occurrence_contracts,p_diverge_given_margin_occurred,wilson_ci_low,wilson_ci_high
latch_2m_1m_window,0.38,38,1158,89,0.0768566493955095,392,0.3385146804835924,10,0.025510204081632654,0.013914367464320242,0.046315785202807214
latch_2m_1m_window,0.39,39,1158,89,0.0768566493955095,386,0.3333333333333333,10,0.025906735751295335,0.01413156852449967,0.04702557837824237
latch_2m_1m_window,0.4,40,1158,89,0.0768566493955095,375,0.3238341968911917,10,0.02666666666666667,0.014547901444053858,0.04838499716053444
latch_2m_1m_window,0.41,41,1158,89,0.0768566493955095,369,0.31865284974093266,10,0.02710027100271003,0.014785500941482801,0.0491601531915324
latch_2m_1m_window,0.42,42,1158,89,0.0768566493955095,355,0.3065630397236615,10,0.028169014084507043,0.0153712783428618,0.05106917895082991
latch_2m_1m_window,0.43,43,1158,89,0.0768566493955095,344,0.2970639032815199,10,0.029069767441860465,0.015865140865675968,0.05267640218150412
latch_2m_1m_window,0.44,44,1158,89,0.0768566493955095,321,0.2772020725388601,10,0.03115264797507788,0.017007698797803106,0.056386841802908136
latch_2m_1m_window,0.45,45,1158,89,0.0768566493955095,299,0.25820379965457685,10,0.033444816053511704,0.018265969663721203,0.06046033478058236
latch_2m_1m_window,0.46,46,1158,89,0.0768566493955095,286,0.2469775474956822,10,0.03496503496503497,0.019101010524284916,0.06315633279703267
latch_2m_1m_window,0.47,47,1158,89,0.0768566493955095,267,0.23056994818652848,10,0.03745318352059925,0.02046863366833677,0.06755920252817071
latch_2m_1m_window,0.48,48,1158,89,0.0768566493955095,230,0.19861830742659758,9,0.0391304347826087,0.02072069645133725,0.07268270140430522
latch_2m_1m_window,0.49,49,1158,89,0.0768566493955095,187,0.1614853195164076,8,0.0427807486631016,0.02183427642715921,0.08213466954688417
latch_2m_1m_window,0.5,50,1158,89,0.0768566493955095,166,0.14335060449050085,8,0.04819277108433735,0.02461917337632423,0.09220497335804473
latch_2m_1m_window,0.51,51,1158,89,0.0768566493955095,153,0.13212435233160622,8,0.05228758169934641,0.02672972900320813,0.09977752417452024
latch_2m_1m_window,0.52,52,1158,89,0.0768566493955095,135,0.11658031088082901,8,0.05925925925925926,0.030329997338257482,0.1125781800379756
latch_2m_1m_window,0.53,53,1158,89,0.0768566493955095,120,0.10362694300518134,8,0.06666666666666667,0.03416489747129058,0.12605267077718166
latch_2m_1m_window,0.54,54,1158,89,0.0768566493955095,108,0.09326424870466321,7,0.06481481481481481,0.03174778644278938,0.12777782835528215
latch_2m_1m_window,0.55,55,1158,89,0.0768566493955095,99,0.08549222797927461,7,0.0707070707070707,0.034669789128209616,0.13881642656660648
latch_2m_1m_window,0.56,56,1158,89,0.0768566493955095,94,0.08117443868739206,7,0.07446808510638298,0.03653811601751902,0.14581376702609433
latch_2m_1m_window,0.57,57,1158,89,0.0768566493955095,88,0.07599309153713299,7,0.07954545454545454,0.03906436024832495,0.15520054802853434
latch_2m_1m_window,0.58,58,1158,89,0.0768566493955095,78,0.06735751295336788,7,0.08974358974358974,0.04415244718641105,0.1738491559103026
latch_2m_1m_window,0.59,59,1158,89,0.0768566493955095,75,0.06476683937823834,6,0.08,0.03717961789436808,0.16374984066557996
latch_2m_1m_window,0.6,60,1158,89,0.0768566493955095,73,0.06303972366148532,6,0.0821917808219178,0.03821322997342026,0.16794593381286216
latch_2m_1m_window,0.61,61,1158,89,0.0768566493955095,67,0.05785837651122625,6,0.08955223880597014,0.04169038288133413,0.18192963699399334
latch_2m_1m_window,0.62,62,1158,89,0.0768566493955095,62,0.0535405872193437,6,0.0967741935483871,0.0451112577973332,0.1954904286744415
latch_2m_1m_window,0.63,63,1158,89,0.0768566493955095,59,0.05094991364421416,6,0.1016949152542373,0.047447326513182495,0.2046404624673654
latch_2m_1m_window,0.64,64,1158,89,0.0768566493955095,56,0.04835924006908463,6,0.10714285714285714,0.050038674581190865,0.21468686751661398
latch_2m_1m_window,0.65,65,1158,89,0.0768566493955095,54,0.046632124352331605,6,0.1111111111111111,0.05192951817556754,0.22194948932076727
latch_2m_1m_window,0.66,66,1158,89,0.0768566493955095,51,0.04404145077720207,6,0.11764705882352941,0.05504998764172768,0.23381102297794787
latch_2m_1m_window,0.67,67,1158,89,0.0768566493955095,46,0.039723661485319514,6,0.13043478260869565,0.06117757137492025,0.2566613423036133
latch_2m_1m_window,0.68,68,1158,89,0.0768566493955095,45,0.038860103626943004,6,0.13333333333333333,0.0625706363434968,0.2617758224129731
latch_2m_1m_window,0.69,69,1158,89,0.0768566493955095,40,0.03454231433506045,6,0.15,0.07061091708507435,0.2907262603902003
latch_2m_1m_window,0.7,70,1158,89,0.0768566493955095,34,0.02936096718480138,6,0.17647058823529413,0.08348855603569685,0.33514067740052156
latch_2m_1m_window,0.71,71,1158,89,0.0768566493955095,31,0.02677029360967185,6,0.1935483870967742,0.09186883586347633,0.36280603555459856
latch_2m_1m_window,0.72,72,1158,89,0.0768566493955095,28,0.024179620034542316,6,0.21428571428571427,0.10212321701189422,0.3953894707927388
