sample,profit_margin,contracts_evaluated,model_signal_contracts,model_signal_rate,approved_trades,approved_trade_rate,approved_trade_rate_ci_low,approved_trade_rate_ci_high,expected_minutes_between_trades,minutes_between_trades_ci_low,minutes_between_trades_ci_high,divergent_trades,divergence_rate,divergence_rate_ci_low,divergence_rate_ci_high,expected_entry_price,entry_price_ci_low,entry_price_ci_high,expected_profit_per_traded_contract,profit_per_traded_contract_ci_low,profit_per_traded_contract_ci_high,expected_profit_per_15m_contract,profit_per_15m_contract_ci_low,profit_per_15m_contract_ci_high,total_profit,total_profit_ci_low,total_profit_ci_high
all,0.21,1158,991,0.8557858376511226,559,0.48272884283246975,0.4542314335060449,0.5112262521588946,31.073345259391772,29.341216216216218,33.02281368821293,11,0.01967799642218247,0.009074410163339383,0.03202846975088968,0.5760002884794275,0.5645391271425287,0.586817796112501,0.40432171509839,0.38733879320015957,0.42123631302129794,0.19517775366148532,0.18071692483873056,0.209386639201209,226.01583874,209.27019896325,242.46972819500002
all,0.22,1158,991,0.8557858376511226,551,0.4758203799654577,0.4473229706390328,0.5043177892918825,31.524500907441016,29.743150684931507,33.53281853281853,11,0.019963702359346643,0.009224667522918324,0.03243389598985265,0.5714251597277676,0.5601639570990888,0.5819200594443393,0.40861113791288567,0.39159528810838123,0.42564868429353336,0.1944255068998273,0.17975570676921415,0.2084005641485319,225.14473699,208.15710843875,241.32785328399993
all,0.23,1158,991,0.8557858376511226,546,0.47150259067357514,0.4430051813471503,0.5,31.813186813186814,30.0,33.85964912280702,11,0.020146520146520148,0.00927600838315124,0.032846715328467155,0.5681268120879119,0.5569869061869245,0.578493536058003,0.41172666776556777,0.3948884703086238,0.4284776780920739,0.19413019050086355,0.17955567581044907,0.20818819211031947,224.8027606,207.9254725885,241.08192646374997
all,0.24,1158,991,0.8557858376511226,533,0.46027633851468047,0.4309153713298791,0.48877374784110533,32.589118198874296,30.68904593639576,34.809619238476955,10,0.01876172607879925,0.007782101167315175,0.031078610603290677,0.561535393564728,0.5505920151552353,0.5718726645565394,0.4197028803564728,0.40328958886550187,0.4360030770719714,0.1931793050345423,0.17873222964443006,0.20748872099028498,223.70163523,206.97192192825,240.27193890675
all,0.25,1158,991,0.8557858376511226,523,0.45164075993091535,0.422279792746114,0.48100172711571676,33.21223709369025,31.18491921005386,35.52147239263804,10,0.019120458891013385,0.007936507936507936,0.03177570093457944,0.5571060447418738,0.5463398680875385,0.5673772306430874,0.4237734963671128,0.4071743865057034,0.4399012692995004,0.19139338393782385,0.17676354811960274,0.2059846708810449,221.6335386,204.6921887225,238.53024888024999
all,0.26,1158,991,0.8557858376511226,515,0.44473229706390327,0.4153713298791019,0.47322970639032813,33.728155339805824,31.697080291970803,36.11226611226611,10,0.019417475728155338,0.008080400782013686,0.032196969696969696,0.552809745223301,0.5421935331921036,0.5629838105715139,0.4277727790485437,0.4109730587867538,0.4440474468607602,0.19024437064766841,0.17563359970379966,0.20465437199352332,220.30298121,203.38370845699998,236.98976276850001
all,0.27,1158,991,0.8557858376511226,508,0.4386873920552677,0.40932642487046633,0.4680483592400691,34.19291338582677,32.047970479704794,36.64556962025316,10,0.01968503937007874,0.00816326530612245,0.03262955854126679,0.5489924150787402,0.5387327744511156,0.5589049298116064,0.43132254555118116,0.41435058441383327,0.4475314182551499,0.18921576264248707,0.17456358536161487,0.20348784222689983,219.11185314000002,202.14463184875,235.63892129875
all,0.28,1158,991,0.8557858376511226,497,0.42918825561312607,0.3998272884283247,0.45682210708117443,34.94969818913481,32.83553875236295,37.51619870410367,10,0.02012072434607646,0.008350730688935281,0.03333333333333333,0.5442400222535211,0.5340218509806521,0.5541217796149484,0.43563925340040244,0.4186108960736994,0.4520238459561675,0.18697125124352332,0.17237360035341107,0.2013559783419689,216.51270894,199.60862920925,233.17022292
all,0.29,1158,991,0.8557858376511226,483,0.4170984455958549,0.38773747841105355,0.44559585492227977,35.96273291925466,33.66279069767442,38.68596881959911,10,0.020703933747412008,0.0086763200646064,0.03418803418803419,0.5384743112836439,0.528579953574111,0.5481251975924936,0.4408217549689441,0.4233785694752611,0.4575491165166015,0.18386606878238343,0.16918447128238343,0.19823065129965456,212.91690765,195.915617745,229.55109420499997
all,0.3,1158,991,0.8557858376511226,475,0.41018998272884283,0.38169257340241797,0.4386873920552677,36.56842105263158,34.19291338582677,39.29864253393665,10,0.021052631578947368,0.00880960661565809,0.03478394511760511,0.53537627,0.5255907771323154,0.545032611747567,0.44357109842105263,0.4257958996764202,0.4601958426639965,0.1819484212003454,0.16734016262068221,0.19619811692443867,210.69627175,193.77990831475,227.1974193985
all,0.31,1158,991,0.8557858376511226,465,0.4015544041450777,0.3738989637305699,0.42918825561312607,37.35483870967742,34.94969818913481,40.117794938414136,10,0.021505376344086023,0.009009009009009009,0.03563941299790356,0.5309901903225807,0.5211584520902569,0.5404934986364247,0.44750443333333334,0.4298542243703839,0.46402475412868316,0.17969737607944733,0.1652440732787133,0.1941257801720639,208.0895615,191.35263685675,224.79765343924998
