strategy,contract_id,decision_horizon,nominal_horizon,entry_time,direction,all_in_cost,diverge,predicted_diverge_prob,hold_return,emergency_full_loss_return,expected_return_at_entry,would_emergency_exit_if_current_logic
single_3m_hold,KXBTC15M-26MAY172230-30,3m,3m,2026-05-18 02:29:46.465000+00:00,K+NP,0.7517597199999999,0,0.06320029696171525,0.2482402800000001,0.2482402800000001,0.18503998303828484,False
single_3m_hold,KXBTC15M-26MAY172300-00,3m,3m,2026-05-18 02:57:31.925000+00:00,K+NP,0.96739297,0,0.0707128636844444,0.03260702999999998,0.03260702999999998,-0.03810583368444442,False
single_3m_hold,KXBTC15M-26MAY180230-30,3m,3m,2026-05-18 06:27:13.271000+00:00,K+NP,0.88098628,0,0.05481766746441591,0.11901371999999999,0.11901371999999999,0.06419605253558408,False
single_3m_hold,KXBTC15M-26MAY180515-15,3m,3m,2026-05-18 09:12:00.542000+00:00,K+NP,0.8820724799999999,0,0.0393882820574036,0.11792752000000006,0.11792752000000006,0.07853923794259646,False
single_3m_hold,KXBTC15M-26MAY181030-30,3m,3m,2026-05-18 14:28:18.056000+00:00,NK+P,0.96202717,0,0.06882770788841448,0.03797282999999996,-0.96202717,-0.030854877888414525,True
single_3m_hold,KXBTC15M-26MAY181430-30,3m,3m,2026-05-18 18:27:00.783000+00:00,K+NP,0.7049738799999999,0,0.0282182106663742,0.29502612000000006,0.29502612000000006,0.26680790933362586,False
single_3m_hold,KXBTC15M-26MAY181845-45,3m,3m,2026-05-18 22:42:01.910000+00:00,K+NP,0.938605,0,0.06970404820941917,0.06139499999999998,0.06139499999999998,-0.00830904820941919,False
single_3m_hold,KXBTC15M-26MAY190315-15,3m,3m,2026-05-19 07:13:26.833000+00:00,NK+P,0.52066477,0,0.06489679983612846,0.47933523,-0.52066477,0.41443843016387155,True
single_3m_hold,KXBTC15M-26MAY190445-45,3m,3m,2026-05-19 08:42:01.294000+00:00,NK+P,0.70050433,0,0.048325288615256166,0.29949567,0.29949567,0.25117038138474385,False
single_3m_hold,KXBTC15M-26MAY190930-30,3m,3m,2026-05-19 13:27:01.522000+00:00,K+NP,0.67335972,0,0.034031084132672834,0.32664028,0.32664028,0.29260919586732714,False
single_3m_hold,KXBTC15M-26MAY191845-45,3m,3m,2026-05-19 22:42:02.863000+00:00,NK+P,0.8111249200000001,0,0.048496663610844766,0.18887507999999986,0.18887507999999986,0.1403784163891551,False
single_3m_hold,KXBTC15M-26MAY191930-30,3m,3m,2026-05-19 23:28:32.167000+00:00,NK+P,0.81013972,0,0.04339413657926989,0.18986028,0.18986028,0.1464661434207301,False
single_3m_hold,KXBTC15M-26MAY200015-15,3m,3m,2026-05-20 04:13:21.506000+00:00,NK+P,0.92371933,0,0.0605905153448567,0.07628067000000005,0.07628067000000005,0.015690154655143347,False
single_3m_hold,KXBTC15M-26MAY200500-00,3m,3m,2026-05-20 08:57:47.504000+00:00,K+NP,0.84341425,0,0.07799015540569648,0.15658574999999997,0.15658574999999997,0.07859559459430349,False
single_3m_hold,KXBTC15M-26MAY200900-00,3m,3m,2026-05-20 12:57:00.098000+00:00,NK+P,0.82411248,0,0.038768608260783405,0.17588751999999996,0.17588751999999996,0.13711891173921656,False
single_3m_hold,KXBTC15M-26MAY201000-00,3m,3m,2026-05-20 13:57:00.682000+00:00,NK+P,0.8175479999999999,0,0.0665520299612893,0.18245200000000006,0.18245200000000006,0.11589997003871076,False
single_3m_hold,KXBTC15M-26MAY201545-45,3m,3m,2026-05-20 19:42:00.982000+00:00,NK+P,0.9503570800000001,0,0.06528475323933115,0.049642919999999924,-0.9503570800000001,-0.01564183323933123,True
single_3m_hold,KXBTC15M-26MAY201815-15,3m,3m,2026-05-20 22:13:12.414000+00:00,K+NP,0.52463472,0,0.05760946323011882,0.47536528,0.47536528,0.41775581676988116,False
single_3m_hold,KXBTC15M-26MAY210115-15,3m,3m,2026-05-21 05:12:07.047000+00:00,K+NP,0.9672549699999999,0,0.04996956263600574,0.032745030000000064,0.032745030000000064,-0.01722453263600568,False
single_3m_hold,KXBTC15M-26MAY211130-30,3m,3m,2026-05-21 15:28:20.955000+00:00,NK+P,0.52998157,0,0.07452779408555009,0.47001843,0.47001843,0.3954906359144499,False
single_3m_hold,KXBTC15M-26MAY211145-45,3m,3m,2026-05-21 15:42:02.509000+00:00,K+NP,0.929497,0,0.07156215847656366,0.07050299999999998,-0.929497,-0.001059158476563682,True
single_3m_hold,KXBTC15M-26MAY211315-15,3m,3m,2026-05-21 17:12:00.616000+00:00,NK+P,0.7322197199999999,0,0.02928268719725217,0.2677802800000001,0.2677802800000001,0.23849759280274793,False
single_3m_hold,KXBTC15M-26MAY211545-45,3m,3m,2026-05-21 19:43:39.986000+00:00,NK+P,0.7081815699999999,0,0.03815331171056406,0.2918184300000001,-0.7081815699999999,0.253665118289436,True
single_3m_hold,KXBTC15M-26MAY211600-00,3m,3m,2026-05-21 19:57:20.270000+00:00,NK+P,0.7265342499999999,0,0.04795215742855258,0.27346575000000006,0.27346575000000006,0.22551359257144749,False
single_3m_hold,KXBTC15M-26MAY212015-15,3m,3m,2026-05-22 00:12:00.494000+00:00,K+NP,0.8327282500000001,0,0.028327284883771855,0.16727174999999994,0.16727174999999994,0.1389444651162281,False
single_3m_hold,KXBTC15M-26MAY220045-45,3m,3m,2026-05-22 04:42:00.097000+00:00,K+NP,0.55207933,0,0.033825967210372926,0.44792067,0.44792067,0.4140947027896271,False
single_3m_hold,KXBTC15M-26MAY220130-30,3m,3m,2026-05-22 05:27:02.813000+00:00,K+NP,0.523193,0,0.0313118601538415,0.476807,0.476807,0.44549513984615846,False
single_3m_hold,KXBTC15M-26MAY220400-00,3m,3m,2026-05-22 07:58:17.861000+00:00,K+NP,0.5199865699999999,0,0.06610487427793896,0.4800134300000001,0.4800134300000001,0.4139085557220611,False
single_3m_hold,KXBTC15M-26MAY220930-30,3m,3m,2026-05-22 13:27:00.464000+00:00,K+NP,0.43171933,0,0.03348044531462631,0.56828067,0.56828067,0.5348002246853737,False
single_3m_hold,KXBTC15M-26MAY221145-45,3m,3m,2026-05-22 15:42:01.898000+00:00,K+NP,0.5199865699999999,0,0.036199274961180944,0.4800134300000001,0.4800134300000001,0.44381415503881916,False
single_3m_hold,KXBTC15M-26MAY221300-00,3m,3m,2026-05-22 16:58:46.487000+00:00,NK+P,0.7809947199999999,0,0.0643858019162039,0.21900528000000008,-0.7809947199999999,0.15461947808379617,True
single_3m_hold,KXBTC15M-26MAY221515-15,3m,3m,2026-05-22 19:12:00.411000+00:00,K+NP,0.50489413,0,0.05151493600026082,0.49510586999999995,0.49510586999999995,0.44359093399973915,False
single_3m_hold,KXBTC15M-26MAY221830-30,3m,3m,2026-05-22 22:27:00.169000+00:00,K+NP,0.50891248,0,0.056964929416718414,0.49108752,0.49108752,0.43412259058328156,False
single_3m_hold,KXBTC15M-26MAY222115-15,3m,3m,2026-05-23 01:12:03.560000+00:00,K+NP,0.9696182499999999,0,0.01866217590001514,0.030381750000000096,0.030381750000000096,0.011719574099984958,False
single_3m_hold,KXBTC15M-26MAY230045-45,3m,3m,2026-05-23 04:42:22.550000+00:00,K+NP,0.574492,0,0.06330115599397697,0.425508,0.425508,0.36220684400602304,False
single_3m_hold,KXBTC15M-26MAY230315-15,3m,3m,2026-05-23 07:13:29.327000+00:00,K+NP,0.96840925,0,0.06851054907764084,0.03159075,0.03159075,-0.03691979907764084,False
single_3m_hold,KXBTC15M-26MAY230330-30,3m,3m,2026-05-23 07:27:00.739000+00:00,K+NP,0.87350657,0,0.05428837655579213,0.12649343000000002,0.12649343000000002,0.07220505344420788,False
single_3m_hold,KXBTC15M-26MAY230700-00,3m,3m,2026-05-23 10:58:26.654000+00:00,K+NP,0.59081052,0,0.0629900802034389,0.40918948,0.40918948,0.3461993997965611,False
