contract_id,source_file,entry_time,decision_horizon,direction,profit_margin,all_in_cost,fee_adjusted_edge,predicted_diverge_prob,diverge,realized_profit,model_expected_profit,sample
KXBTC15M-26MAY172145-45,combined_KXBTC15M-26MAY172145-45.csv,2026-05-18 01:43:32.662000+00:00,2m,K+NP,0.05,0.946132,0.05386800000000003,0.07590028109815437,0,0.05386800000000003,-0.022032281098154347,all
KXBTC15M-26MAY172200-00,combined_KXBTC15M-26MAY172200-00.csv,2026-05-18 01:58:34.361000+00:00,2m,NK+P,0.05,0.8488597199999999,0.15114028000000013,0.0429810517696487,0,0.15114028000000013,0.10815922823035143,all
KXBTC15M-26MAY172215-15,combined_KXBTC15M-26MAY172215-15.csv,2026-05-18 02:14:29.699000+00:00,2m,NK+P,0.05,0.69301972,0.30698028,0.07128620544838224,0,0.30698028,0.23569407455161775,all
KXBTC15M-26MAY172230-30,combined_KXBTC15M-26MAY172230-30.csv,2026-05-18 02:29:46.465000+00:00,2m,K+NP,0.05,0.7517597199999999,0.2482402800000001,0.07128632157056573,0,0.2482402800000001,0.17695395842943434,all
KXBTC15M-26MAY172330-30,combined_KXBTC15M-26MAY172330-30.csv,2026-05-18 03:28:09.628000+00:00,2m,NK+P,0.05,0.523193,0.476807,0.028914818303943456,0,0.476807,0.44789218169605655,all
KXBTC15M-26MAY180000-00,combined_KXBTC15M-26MAY180000-00.csv,2026-05-18 03:58:40.195000+00:00,2m,NK+P,0.05,0.9492280000000001,0.05077199999999993,0.06163431441536412,0,0.05077199999999993,-0.010862314415364192,all
KXBTC15M-26MAY180015-15,combined_KXBTC15M-26MAY180015-15.csv,2026-05-18 04:13:32.595000+00:00,2m,NK+P,0.05,0.87564433,0.12435567000000003,0.07688399837222608,0,0.12435567000000003,0.04747167162777395,all
KXBTC15M-26MAY180100-00,combined_KXBTC15M-26MAY180100-00.csv,2026-05-18 04:59:12.007000+00:00,1m,NK+P,0.05,0.38593387999999995,0.61406612,0.1019591729891616,0,0.61406612,0.5121069470108385,all
KXBTC15M-26MAY180145-45,combined_KXBTC15M-26MAY180145-45.csv,2026-05-18 05:43:00.328000+00:00,2m,K+NP,0.05,0.79606657,0.20393342999999997,0.006473514514886628,0,0.20393342999999997,0.19745991548511335,all
KXBTC15M-26MAY180230-30,combined_KXBTC15M-26MAY180230-30.csv,2026-05-18 06:29:00.790000+00:00,2m,K+NP,0.05,0.87029888,0.12970112,0.035845538480105216,0,0.12970112,0.09385558151989479,all
KXBTC15M-26MAY180245-45,combined_KXBTC15M-26MAY180245-45.csv,2026-05-18 06:43:52.493000+00:00,2m,NK+P,0.05,0.7939282500000001,0.2060717499999999,0.029448216624692526,0,0.2060717499999999,0.17662353337530737,all
KXBTC15M-26MAY180300-00,combined_KXBTC15M-26MAY180300-00.csv,2026-05-18 06:58:01.005000+00:00,2m,NK+P,0.05,0.86815972,0.13184028000000003,0.02965461354827063,0,0.13184028000000003,0.1021856664517294,all
KXBTC15M-26MAY180315-15,combined_KXBTC15M-26MAY180315-15.csv,2026-05-18 07:14:00.546000+00:00,1m,NK+P,0.05,0.93866797,0.06133202999999998,0.07678218190382355,0,0.06133202999999998,-0.015450151903823567,all
KXBTC15M-26MAY180330-30,combined_KXBTC15M-26MAY180330-30.csv,2026-05-18 07:29:48.351000+00:00,2m,NK+P,0.05,0.04726825,0.95273175,0.07160315373833895,0,0.95273175,0.8811285962616611,all
KXBTC15M-26MAY180345-45,combined_KXBTC15M-26MAY180345-45.csv,2026-05-18 07:44:52.643000+00:00,1m,K+NP,0.05,0.66351472,0.33648528,0.014464496438777093,0,0.33648528,0.3220207835612229,all
KXBTC15M-26MAY180400-00,combined_KXBTC15M-26MAY180400-00.csv,2026-05-18 07:59:00.783000+00:00,1m,NK+P,0.05,0.8047124800000001,0.19528751999999994,0.05449639725707987,0,0.19528751999999994,0.14079112274292005,all
KXBTC15M-26MAY180415-15,combined_KXBTC15M-26MAY180415-15.csv,2026-05-18 08:14:36.871000+00:00,1m,K+NP,0.05,0.15029888000000002,0.84970112,0.10716087180790863,0,0.84970112,0.7425402481920913,all
