sample,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high,arb_opportunities,total_arb_opportunity_seconds,avg_arb_opportunity_seconds,bootstrap_expected_avg_arb_opportunity_seconds,bootstrap_avg_arb_opportunity_seconds_ci_low,bootstrap_avg_arb_opportunity_seconds_ci_high
calibration,0.16,232,205,127,0.5474137931034483,7,0.05511811023622047,0.6336363451181102,0.36636365488188977,0.050647537836346776,0.31124554464566934,0.1703801041810345,39.52818417,40.09594686478396,39.48916076093,31.79411529175,47.03516734624999,126.907,111.975,142.0,203,3464.1609999999996,17.06483251231527,17.083938511645822,14.638896836423003,19.4977362368421
calibration,0.17,232,205,125,0.5387931034482759,7,0.056,0.6263313694399999,0.37366863056,0.05074023095513197,0.31766863056,0.1711576673275862,39.70857882,40.366049950608506,39.829908253700005,31.9641114675,47.389680138749995,124.715,110.0,139.0,196,3365.646,17.171663265306123,17.25913593529258,14.820911252541512,19.896047967424444
calibration,0.18,232,205,124,0.5344827586206896,7,0.056451612903225805,0.6216258027419355,0.37837419725806454,0.0510707780472744,0.3219225843548387,0.17206207094827586,39.91840046,40.585623982137975,39.961935811185,31.68753709475,47.78086081199999,123.826,109.0,138.0,190,3282.816,17.27797894736842,17.308914206343474,14.715142923018293,20.041163955188356
calibration,0.19,232,205,119,0.5129310344827587,7,0.058823529411764705,0.6098639464705883,0.3901360535294119,0.04998378300373086,0.33131252411764706,0.1699404757327586,39.42619037,40.478120192556034,39.480930000505005,31.557225336000002,46.92807403375,118.8685,104.0,134.0,177,3226.425,18.228389830508476,18.28056725198098,15.558412176606165,21.134634979081742
calibration,0.2,232,205,115,0.4956896551724138,7,0.06086956521739131,0.6005841573913044,0.39941584260869567,0.04859169141081624,0.33854627739130433,0.1678138875,38.9328219,40.34477738775614,38.953346927350005,31.096930695749997,46.7641265165,115.056,100.0,130.0,172,3176.0919999999996,18.465651162790696,18.43760304138995,15.791795838307106,21.40880740996622
calibration,0.21,232,205,113,0.4870689655172414,7,0.061946902654867256,0.5971304513274336,0.40286954867256636,0.04920254979379795,0.3409226460176991,0.1660528405172414,38.524259,39.96437087330084,38.519496363490006,30.84003604075,45.878807821500004,112.6035,98.0,127.0,170,3084.524,18.144258823529412,18.18196083087448,15.456333266347542,21.152191864979713
calibration,0.22,232,205,112,0.4827586206896552,7,0.0625,0.5919881242857142,0.4080118757142857,0.049201820013234414,0.3455118757142857,0.16679883655172414,38.69733008,40.18672623851775,38.7770317489,30.9383747805,46.705092135,112.3665,97.0,128.02499999999986,168,3063.3399999999997,18.234166666666663,18.215011759413603,15.435588135906928,21.229188916666665
calibration,0.23,232,205,112,0.4827586206896552,7,0.0625,0.5914834725,0.40851652750000006,0.049201820013234414,0.34601652749999995,0.16704246155172411,38.75385108,40.243247238517746,38.709616443730006,30.34426816225,46.61200163699999,112.0475,97.0,127.0,165,3046.318,18.462533333333333,18.473633285720133,15.679804774150268,21.647574914027917
calibration,0.24,232,205,110,0.47413793103448276,7,0.06363636363636363,0.5880631490909091,0.41193685090909093,0.049208729496335375,0.3483004872727273,0.16514247241379312,38.3130536,39.90009335540311,38.48503618246001,30.4689438265,46.37458954024999,109.6245,95.0,123.0,159,2988.843,18.79775471698113,18.858210774321353,15.979134603066768,21.877439825503355
calibration,0.25,232,205,107,0.46120689655172414,7,0.06542056074766354,0.5820115239252336,0.41798847607476636,0.04974019331172606,0.35256791532710274,0.16260675405172412,37.724766939999995,39.40256625564531,37.764014368505,30.212678706750005,45.6248731685,106.984,92.0,122.0,154,2925.054,18.993857142857145,18.964668454630367,16.12265842535644,22.002802495673457
