sample,contract_id,source_file,threshold_2m,threshold_1m,decision_horizon,entry_time,direction,all_in_cost,fee_adjusted_edge,predicted_diverge_prob,diverge,realized_profit,model_expected_profit,selection
calibration,KXBTC15M-26MAY222245-45,combined_KXBTC15M-26MAY222245-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-23 02:44:50.132000+00:00,NK+P,0.61413972,0.38586028000000006,0.05127195058342117,0,0.38586028000000006,0.3345883294165789,saved_thresholds_calibration
calibration,KXBTC15M-26MAY222300-00,combined_KXBTC15M-26MAY222300-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-23 02:58:56.568000+00:00,NK+P,0.6536597199999999,0.34634028000000006,0.021237575245863317,0,0.34634028000000006,0.3251027047541367,saved_thresholds_calibration
calibration,KXBTC15M-26MAY230745-45,combined_KXBTC15M-26MAY230745-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-23 11:43:01.803000+00:00,K+NP,0.64994977,0.35005023,0.024546810288973004,0,0.35005023,0.32550341971102703,saved_thresholds_calibration
calibration,KXBTC15M-26MAY230800-00,combined_KXBTC15M-26MAY230800-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 11:59:52.555000+00:00,NK+P,0.42530437,0.57469563,0.028235527965791235,0,0.57469563,0.5464601020342088,saved_thresholds_calibration
calibration,KXBTC15M-26MAY230930-30,combined_KXBTC15M-26MAY230930-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 13:29:00.265000+00:00,NK+P,0.70604325,0.29395675,0.08577942125241753,0,0.29395675,0.20817732874758246,saved_thresholds_calibration
calibration,KXBTC15M-26MAY231615-15,combined_KXBTC15M-26MAY231615-15.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 20:14:12.785000+00:00,NK+P,0.45445972,0.54554028,0.11167372694754263,0,0.54554028,0.43386655305245736,saved_thresholds_calibration
calibration,KXBTC15M-26MAY231630-30,combined_KXBTC15M-26MAY231630-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 20:29:06.079000+00:00,K+NP,0.58760325,0.41239675,0.0616341432259976,0,0.41239675,0.3507626067740024,saved_thresholds_calibration
calibration,KXBTC15M-26MAY231830-30,combined_KXBTC15M-26MAY231830-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 22:29:07.813000+00:00,K+NP,0.52570437,0.47429562999999997,0.08187893230244565,0,0.47429562999999997,0.39241669769755433,saved_thresholds_calibration
calibration,KXBTC15M-26MAY231900-00,combined_KXBTC15M-26MAY231900-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-23 22:59:10.251000+00:00,NK+P,0.80449468,0.19550531999999998,0.11049978095596974,0,0.19550531999999998,0.08500553904403024,saved_thresholds_calibration
calibration,KXBTC15M-26MAY232000-00,combined_KXBTC15M-26MAY232000-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-23 23:58:00.934000+00:00,NK+P,0.721193,0.278807,0.023644567191832003,0,0.278807,0.255162432808168,saved_thresholds_calibration
calibration,KXBTC15M-26MAY232030-30,combined_KXBTC15M-26MAY232030-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 00:29:06.994000+00:00,K+NP,0.7746729200000001,0.2253270799999999,0.0608636078219158,1,-0.7746729200000001,0.1644634721780841,saved_thresholds_calibration
calibration,KXBTC15M-26MAY232045-45,combined_KXBTC15M-26MAY232045-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 00:43:01.753000+00:00,NK+P,0.7397043299999999,0.2602956700000001,0.05273927982651623,0,0.2602956700000001,0.20755639017348387,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240030-30,combined_KXBTC15M-26MAY240030-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 04:28:00.895000+00:00,K+NP,0.49889748,0.50110252,0.018644699769446542,0,0.50110252,0.48245782023055345,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240130-30,combined_KXBTC15M-26MAY240130-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 05:28:53.849000+00:00,K+NP,0.7201243299999999,0.27987567000000013,0.06990588069983397,0,0.27987567000000013,0.20996978930016616,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240200-00,combined_KXBTC15M-26MAY240200-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 05:58:00.344000+00:00,NK+P,0.54673388,0.45326612,0.04771513161158376,0,0.45326612,0.40555098838841624,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240245-45,combined_KXBTC15M-26MAY240245-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 06:43:06.044000+00:00,NK+P,0.523193,0.476807,0.05049912562368069,0,0.476807,0.4263078743763193,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240415-15,combined_KXBTC15M-26MAY240415-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 08:13:31.856000+00:00,K+NP,0.36351472,0.63648528,0.033504847698872874,0,0.63648528,0.6029804323011272,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240430-30,combined_KXBTC15M-26MAY240430-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 08:28:11.429000+00:00,NK+P,0.54459472,0.45540528,0.04049619962493327,0,0.45540528,0.41490908037506674,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240630-30,combined_KXBTC15M-26MAY240630-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 10:28:36.259000+00:00,NK+P,0.48459472,0.51540528,0.00011555352749764417,0,0.51540528,0.5152897264725024,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240645-45,combined_KXBTC15M-26MAY240645-45.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-24 10:44:46.848000+00:00,K+NP,0.81548657,0.18451342999999998,0.13227534811456437,0,0.18451342999999998,0.052238081885435605,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240730-30,combined_KXBTC15M-26MAY240730-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-24 11:29:15.755000+00:00,K+NP,0.6157000000000001,0.38429999999999986,0.07749309289324334,0,0.38429999999999986,0.3068069071067565,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240845-45,combined_KXBTC15M-26MAY240845-45.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-24 12:44:00.171000+00:00,NK+P,0.7231341299999999,0.27686587000000007,0.027004074620617775,0,0.27686587000000007,0.2498617953793823,saved_thresholds_calibration
calibration,KXBTC15M-26MAY240900-00,combined_KXBTC15M-26MAY240900-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 12:58:46.372000+00:00,NK+P,0.7068519999999999,0.2931480000000001,0.05496931409584813,0,0.2931480000000001,0.23817868590415195,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241115-15,combined_KXBTC15M-26MAY241115-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 15:14:36.272000+00:00,NK+P,0.80043472,0.19956527999999996,0.0766938663956031,0,0.19956527999999996,0.12287141360439685,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241130-30,combined_KXBTC15M-26MAY241130-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 15:29:10.455000+00:00,K+NP,0.7528293699999999,0.24717063000000006,0.07491024699070448,0,0.24717063000000006,0.17226038300929558,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241345-45,combined_KXBTC15M-26MAY241345-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 17:43:00.776000+00:00,NK+P,0.442873,0.5571269999999999,0.05525007731172572,0,0.5571269999999999,0.5018769226882742,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241700-00,combined_KXBTC15M-26MAY241700-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 20:58:22.099000+00:00,K+NP,0.5146397199999999,0.4853602800000001,0.05656362883715911,0,0.4853602800000001,0.428796651162841,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241830-30,combined_KXBTC15M-26MAY241830-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-24 22:29:02.359000+00:00,K+NP,0.5146397199999999,0.4853602800000001,0.03645002694074061,0,0.4853602800000001,0.44891025305925947,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241845-45,combined_KXBTC15M-26MAY241845-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 22:43:20.824000+00:00,K+NP,0.33515888,0.66484112,0.0483099702996508,0,0.66484112,0.6165311497003492,saved_thresholds_calibration
calibration,KXBTC15M-26MAY241945-45,combined_KXBTC15M-26MAY241945-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-24 23:43:01.181000+00:00,NK+P,0.50570437,0.49429563,0.02979260632252388,0,0.49429563,0.4645030236774761,saved_thresholds_calibration
calibration,KXBTC15M-26MAY250200-00,combined_KXBTC15M-26MAY250200-00.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-25 05:58:39.196000+00:00,K+NP,0.5378282500000001,0.4621717499999999,0.022864899330090827,0,0.4621717499999999,0.43930685066990904,saved_thresholds_calibration
calibration,KXBTC15M-26MAY250345-45,combined_KXBTC15M-26MAY250345-45.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-25 07:43:05.663000+00:00,NK+P,0.68084433,0.31915567,0.07198961843171156,0,0.31915567,0.24716605156828844,saved_thresholds_calibration
calibration,KXBTC15M-26MAY250830-30,combined_KXBTC15M-26MAY250830-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-25 12:29:00.936000+00:00,NK+P,0.49461972,0.50538028,0.06306705620436766,0,0.50538028,0.44231322379563237,saved_thresholds_calibration
calibration,KXBTC15M-26MAY251115-15,combined_KXBTC15M-26MAY251115-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-25 15:13:01.420000+00:00,NK+P,0.52570437,0.47429562999999997,0.030756435532581373,1,-0.52570437,0.4435391944674186,saved_thresholds_calibration
calibration,KXBTC15M-26MAY251600-00,combined_KXBTC15M-26MAY251600-00.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-25 19:59:19.930000+00:00,NK+P,0.6536597199999999,0.34634028000000006,0.04142213924958091,0,0.34634028000000006,0.3049181407504191,saved_thresholds_calibration
calibration,KXBTC15M-26MAY251830-30,combined_KXBTC15M-26MAY251830-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-25 22:28:00.577000+00:00,K+NP,0.7538988799999999,0.24610112000000006,0.020153373424015845,0,0.24610112000000006,0.2259477465759842,saved_thresholds_calibration
calibration,KXBTC15M-26MAY252315-15,combined_KXBTC15M-26MAY252315-15.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-26 03:14:00.816000+00:00,K+NP,0.51105052,0.48894948000000005,0.06958733859103071,0,0.48894948000000005,0.4193621414089693,saved_thresholds_calibration
calibration,KXBTC15M-26MAY252330-30,combined_KXBTC15M-26MAY252330-30.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-26 03:28:22.393000+00:00,K+NP,0.789548,0.21045199999999997,0.06724899329605481,1,-0.789548,0.14320300670394515,saved_thresholds_calibration
calibration,KXBTC15M-26MAY260230-30,combined_KXBTC15M-26MAY260230-30.csv,0.07881355932203389,0.13288135593220338,1m,2026-05-26 06:29:03.900000+00:00,K+NP,0.65579888,0.34420112,0.06095268384330327,0,0.34420112,0.28324843615669676,saved_thresholds_calibration
calibration,KXBTC15M-26MAY260315-15,combined_KXBTC15M-26MAY260315-15.csv,0.07881355932203389,0.13288135593220338,2m,2026-05-26 07:13:00.668000+00:00,K+NP,0.53675888,0.46324111999999995,0.025161928568847865,0,0.46324111999999995,0.4380791914311521,saved_thresholds_calibration
