contract_id,baseline_entry_time,baseline_direction,baseline_all_in_cost,diverge,trade_quality,taken_by_any_2_1_latch_hold,good_missed,bad_avoided
KXBTC15M-26MAY261945-45,2026-05-26 23:44:22.218000+00:00,NK+P,0.56451472,0,good,True,False,False
KXBTC15M-26MAY262030-30,2026-05-27 00:28:21.568000+00:00,K+NP,0.740773,0,good,True,False,False
KXBTC15M-26MAY262200-00,2026-05-27 01:58:02.155000+00:00,K+NP,0.7183,1,bad,False,False,True
KXBTC15M-26MAY262215-15,2026-05-27 02:13:32.159000+00:00,K+NP,0.52677388,0,good,True,False,False
KXBTC15M-26MAY270000-00,2026-05-27 03:58:02.195000+00:00,K+NP,0.6053043699999999,0,good,True,False,False
KXBTC15M-26MAY270130-30,2026-05-27 05:28:39.207000+00:00,NK+P,0.52677388,0,good,True,False,False
KXBTC15M-26MAY270245-45,2026-05-27 06:43:01.168000+00:00,NK+P,0.81227888,0,good,True,False,False
KXBTC15M-26MAY270330-30,2026-05-27 07:28:00.408000+00:00,NK+P,0.52891248,0,good,True,False,False
KXBTC15M-26MAY270515-15,2026-05-27 09:13:01.102000+00:00,K+NP,0.5478032500000001,0,good,True,False,False
KXBTC15M-26MAY270530-30,2026-05-27 09:28:01.668000+00:00,NK+P,0.53996657,0,good,True,False,False
KXBTC15M-26MAY270615-15,2026-05-27 10:13:02.045000+00:00,K+NP,0.8753882500000001,0,good,True,False,False
KXBTC15M-26MAY270915-15,2026-05-27 13:13:01.278000+00:00,K+NP,0.58546437,0,good,True,False,False
KXBTC15M-26MAY270930-30,2026-05-27 13:28:00.963000+00:00,K+NP,0.45766825,0,good,True,False,False
KXBTC15M-26MAY271015-15,2026-05-27 14:13:42.278000+00:00,K+NP,0.95569872,0,good,True,False,False
KXBTC15M-26MAY271230-30,2026-05-27 16:28:00.374000+00:00,K+NP,0.56986157,0,good,True,False,False
KXBTC15M-26MAY271415-15,2026-05-27 18:13:01.832000+00:00,K+NP,0.96525913,0,good,True,False,False
KXBTC15M-26MAY271430-30,2026-05-27 18:28:02.013000+00:00,NK+P,0.84026437,0,good,True,False,False
KXBTC15M-26MAY271845-45,2026-05-27 22:44:05.014000+00:00,K+NP,0.8259450000000002,0,good,True,False,False
KXBTC15M-26MAY272030-30,2026-05-28 00:28:01.179000+00:00,K+NP,0.7789119999999999,0,good,True,False,False
KXBTC15M-26MAY272300-00,2026-05-28 02:58:51.083000+00:00,NK+P,0.963068,0,good,True,False,False
KXBTC15M-26MAY272315-15,2026-05-28 03:14:12.031000+00:00,K+NP,0.96512937,0,good,True,False,False
KXBTC15M-26MAY280015-15,2026-05-28 04:13:32.982000+00:00,K+NP,0.47776825,0,good,True,False,False
KXBTC15M-26MAY280045-45,2026-05-28 04:43:01.499000+00:00,NK+P,0.54566437,0,good,True,False,False
KXBTC15M-26MAY280145-45,2026-05-28 05:44:16.589000+00:00,NK+P,0.7179865699999999,0,good,True,False,False
KXBTC15M-26MAY280530-30,2026-05-28 09:28:01.202000+00:00,NK+P,0.53889748,0,good,True,False,False
KXBTC15M-26MAY280545-45,2026-05-28 09:43:00.368000+00:00,NK+P,0.42744325,0,good,True,False,False
KXBTC15M-26MAY280730-30,2026-05-28 11:28:02.434000+00:00,K+NP,0.50463472,0,good,True,False,False
KXBTC15M-26MAY280900-00,2026-05-28 12:58:01.556000+00:00,K+NP,0.9606469999999999,0,good,False,True,False
KXBTC15M-26MAY281015-15,2026-05-28 14:13:11.900000+00:00,NK+P,0.936397,1,bad,True,False,False
KXBTC15M-26MAY281045-45,2026-05-28 14:43:01.577000+00:00,K+NP,0.9556575700000001,0,good,True,False,False
KXBTC15M-26MAY281100-00,2026-05-28 14:58:12.427000+00:00,NK+P,0.5431730000000001,0,good,True,False,False
KXBTC15M-26MAY281145-45,2026-05-28 15:43:01.228000+00:00,NK+P,0.9032320000000001,0,good,False,True,False
KXBTC15M-26MAY281215-15,2026-05-28 16:13:02.077000+00:00,NK+P,0.239273,0,good,True,False,False
KXBTC15M-26MAY281245-45,2026-05-28 16:43:00.473000+00:00,NK+P,0.65900657,0,good,True,False,False
KXBTC15M-26MAY281515-15,2026-05-28 19:13:01.567000+00:00,K+NP,0.83058937,0,good,True,False,False
KXBTC15M-26MAY281600-00,2026-05-28 19:58:24.649000+00:00,NK+P,0.965297,1,bad,True,False,False
KXBTC15M-26MAY281630-30,2026-05-28 20:28:01.784000+00:00,NK+P,0.93539472,0,good,True,False,False
KXBTC15M-26MAY281745-45,2026-05-28 21:43:13.549000+00:00,NK+P,0.5146397199999999,0,good,True,False,False
KXBTC15M-26MAY281945-45,2026-05-28 23:43:00.765000+00:00,K+NP,0.52463472,0,good,True,False,False
KXBTC15M-26MAY282000-00,2026-05-28 23:59:28.494000+00:00,NK+P,0.19165888,0,good,True,False,False
KXBTC15M-26MAY282100-00,2026-05-29 00:58:00.805000+00:00,K+NP,0.82090437,0,good,True,False,False
KXBTC15M-26MAY282115-15,2026-05-29 01:13:36.742000+00:00,NK+P,0.9650136699999999,0,good,True,False,False
KXBTC15M-26MAY282145-45,2026-05-29 01:43:17.463000+00:00,K+NP,0.95030657,0,good,True,False,False
KXBTC15M-26MAY282215-15,2026-05-29 02:13:09.801000+00:00,NK+P,0.9662707700000001,0,good,True,False,False
KXBTC15M-26MAY290315-15,2026-05-29 07:13:00.877000+00:00,NK+P,0.92685372,0,good,False,True,False
KXBTC15M-26MAY290330-30,2026-05-29 07:29:28.271000+00:00,K+NP,0.5146397199999999,0,good,True,False,False
KXBTC15M-26MAY290400-00,2026-05-29 07:58:21.435000+00:00,NK+P,0.5342565300000001,0,good,True,False,False
KXBTC15M-26MAY290430-30,2026-05-29 08:28:00.297000+00:00,NK+P,0.49568936999999996,0,good,True,False,False
KXBTC15M-26MAY290600-00,2026-05-29 09:58:00.993000+00:00,K+NP,0.54459472,0,good,True,False,False
KXBTC15M-26MAY290615-15,2026-05-29 10:13:01.358000+00:00,K+NP,0.93120625,0,good,True,False,False
KXBTC15M-26MAY290930-30,2026-05-29 13:28:00.790000+00:00,K+NP,0.6293529999999999,0,good,True,False,False
KXBTC15M-26MAY291030-30,2026-05-29 14:28:01.057000+00:00,K+NP,0.50463472,0,good,True,False,False
