sample,threshold_2m,threshold_1m,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,trades_from_2m,trades_from_1m
calibration,0.005,0.03,0.18,232,68,24,0.10344827586206896,2,0.08333333333333333,0.60629910375,0.3937008962500001,0.014817890744697434,0.31036756291666673,0.032106989267241384,7.448821510000001,9.093192132127262,3,21
calibration,0.005,0.035,0.18,232,78,26,0.11206896551724138,2,0.07692307692307693,0.6061368434615384,0.39386315653846155,0.01604758214994734,0.3169400796153846,0.03551914685344828,8.24044207,9.82320493410137,3,23
calibration,0.005,0.04,0.18,232,91,32,0.13793103448275862,2,0.0625,0.6008654321875,0.3991345678125,0.02011930920095893,0.3366345678125,0.04643235418103448,10.77230617,12.128488275569316,3,29
calibration,0.005,0.045,0.18,232,104,36,0.15517241379310345,2,0.05555555555555555,0.607023246388889,0.3929767536111111,0.02257734966543563,0.3374211980555556,0.052358461767241384,12.147163130000001,13.334378542044318,3,33
calibration,0.005,0.05,0.18,232,112,38,0.16379310344827586,2,0.05263157894736842,0.61620542,0.38379458000000005,0.023940817790727154,0.33116300105263163,0.05424221568965518,12.584194040000002,13.67444296395237,3,35
calibration,0.005,0.055,0.18,232,120,42,0.1810344827586207,2,0.047619047619047616,0.6177053990476191,0.38229460095238094,0.02665891375759031,0.3346755533333334,0.060587815689655176,14.056373240000001,14.936698862181208,3,39
calibration,0.005,0.06,0.18,232,127,45,0.1939655172413793,3,0.06666666666666667,0.6132706684444444,0.38672933155555556,0.028687551127731303,0.3200626648888889,0.06208112034482759,14.40281992,16.111880119252092,3,42
calibration,0.005,0.065,0.18,232,139,51,0.21982758620689655,3,0.058823529411764705,0.6095926100000001,0.39040739,0.03262320863264953,0.3315838605882353,0.07289127969827587,16.91077689,18.246993249734874,3,48
calibration,0.005,0.07,0.18,232,151,57,0.24568965517241378,3,0.05263157894736842,0.6100872243859649,0.3899127756140351,0.03636871660061735,0.3372811966666666,0.0828665009051724,19.225028209999998,20.152011363764814,3,54
calibration,0.005,0.075,0.18,232,157,58,0.25,3,0.05172413793103448,0.6108384743103447,0.3891615256896551,0.03700436833387047,0.33743738775862064,0.08435934693965516,19.571368489999998,20.425115126635514,3,55
