sample,floor_label,polymarket_price_floor,profit_margin,profit_margin_cents,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_polymarket_price,mean_all_in_cost,mean_fee_adjusted_edge,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high
calibration,none,0.0,0.6,60,232,205,24,0.10344827586206896,7,0.2916666666666667,0.2829166666666667,0.31644487583333336,0.6835551241666667,0.39188845750000006,0.040540185258620694,9.405322980000001,15.066595485809689,9.358867410539998,3.8981770554999997,14.784242947999997,24.254,16.0,34.0
calibration,none,0.0,0.61,61,232,205,21,0.09051724137931035,7,0.3333333333333333,0.2671428571428572,0.3024178095238095,0.6975821904761904,0.36424885714285715,0.03297080172413793,7.6492260000000005,13.420421468338377,7.422644475699999,2.9991246704999996,12.0837324105,21.314,13.0,30.0
calibration,none,0.0,0.62,62,232,205,20,0.08620689655172414,7,0.35,0.26200000000000007,0.29840245350000005,0.7015975465000001,0.35159754649999997,0.030310133318965517,7.03195093,12.864743910220152,7.08418776306,2.5836996929999994,12.231322795499999,19.99,12.0,28.524999999999977
calibration,none,0.0,0.63,63,232,205,19,0.08189655172413793,7,0.3684210526315789,0.25684210526315787,0.29449784947368424,0.7055021505263157,0.3370810978947368,0.027605779568965514,6.404540859999999,12.307066975910685,6.444334222539999,2.0327922217500003,11.337011886499996,18.944,12.0,27.0
calibration,none,0.0,0.64,64,232,205,18,0.07758620689655173,7,0.3888888888888889,0.2516666666666667,0.2906635788888889,0.7093364211111111,0.3204475322222222,0.024862308534482756,5.7680555799999995,11.700482544743517,5.8704792592,1.7961554272499998,10.70336200325,17.804,10.0,27.0
calibration,none,0.0,0.65,65,232,205,16,0.06896551724137931,7,0.4375,0.24,0.280372785,0.7196272149999999,0.282127215,0.019457049310344827,4.51403544,10.489275209340814,4.521417856319999,0.42435723324999974,9.01021009275,15.806,9.0,25.0
calibration,none,0.0,0.66,66,232,205,15,0.06465517241379311,7,0.4666666666666667,0.234,0.276184656,0.723815344,0.2571486773333333,0.016625992068965513,3.8572301599999994,9.832666185259985,3.90360999378,-0.14031808950000008,8.110093999999993,14.838,8.0,22.0
calibration,none,0.0,0.67,67,232,205,14,0.0603448275862069,7,0.5,0.21571428571428572,0.25790404642857145,0.7420959535714285,0.24209595357142857,0.014609238577586206,3.38934335,9.409017135123566,3.35762063378,-0.1343096855000001,7.301472967749996,13.92,7.475000000000001,21.0
calibration,none,0.0,0.68,68,232,205,14,0.0603448275862069,7,0.5,0.20428571428571426,0.25674721714285714,0.7432527828571428,0.24325278285714286,0.01467904724137931,3.40553896,9.425212745123567,3.38858471606,-0.048957406499999995,7.124566031499996,14.042,7.0,22.0
calibration,none,0.0,0.69,69,232,205,13,0.05603448275862069,7,0.5384615384615384,0.19153846153846152,0.24185383000000002,0.7581461699999998,0.21968463153846152,0.01230991469827586,2.8559002099999997,8.942549284172784,2.8480550635599995,-0.35767191375000024,6.536811139249998,12.988,7.0,20.0
calibration,none,0.0,0.7,70,232,205,13,0.05603448275862069,7,0.5384615384615384,0.1846153846153846,0.23376235615384616,0.7662376438461537,0.22777610538461537,0.01276331625,2.96108937,9.047738444172783,2.94646469416,-0.43660340150000027,7.144566542249999,13.036,6.475000000000001,20.0
calibration,none,0.0,0.71,71,232,205,12,0.05172413793103448,7,0.5833333333333334,0.1708333333333333,0.22101276833333336,0.7789872316666667,0.19565389833333333,0.01012002922413793,2.34784678,8.549785013368083,2.41878373612,-0.8414640675000002,6.01847523875,12.2,6.475000000000001,19.0
calibration,none,0.0,0.72,72,232,205,11,0.04741379310344827,7,0.6363636363636364,0.16090909090909092,0.21367111727272728,0.7863288827272729,0.14996524636363634,0.007110421163793103,1.6496177099999998,7.9043405775326665,1.6419426611999999,-1.0856739435,5.234881008749999,10.942,6.0,17.0
calibration,none,0.0,0.73,73,232,205,10,0.04310344827586207,6,0.6,0.15,0.20673079200000002,0.7932692080000001,0.19326920799999997,0.008330569310344827,1.9326920799999998,7.301969311372195,1.8954860801,-0.878706531,5.2782068319999995,9.954,4.0,16.524999999999977
calibration,none,0.0,0.74,74,232,205,9,0.03879310344827586,6,0.6666666666666666,0.15444444444444447,0.19014176888888892,0.8098582311111112,0.14319156444444447,0.005554845172413793,1.2887240800000002,6.7888258152364225,1.2350207364,-1.35014058425,4.247293605249995,9.08,4.0,15.0
calibration,none,0.0,0.75,75,232,205,9,0.03879310344827586,6,0.6666666666666666,0.14333333333333334,0.16103454777777781,0.8389654522222222,0.17229878555555553,0.006684004612068964,1.5506890699999998,7.0507908052364225,1.54515223124,-0.956765541,4.786470888499993,9.134,4.0,15.0
calibration,none,0.0,0.76,76,232,205,9,0.03879310344827586,6,0.6666666666666666,0.14333333333333334,0.16091568222222224,0.8390843177777777,0.17241765111111113,0.006688615775862069,1.55175886,7.051860595236422,1.5638888628799998,-1.0141912425,4.756458340749998,8.954,4.0,14.0
calibration,none,0.0,0.77,77,232,205,8,0.034482758620689655,6,0.75,0.1325,0.15103952625,0.8489604737499999,0.09896047374999999,0.0034124301293103443,0.7916837899999999,6.356495884423138,0.7551257282799998,-1.2292119165000002,3.643563572999999,7.834,3.0,13.0
calibration,none,0.0,0.78,78,232,205,8,0.034482758620689655,6,0.75,0.1325,0.15103952625,0.8489604737499999,0.09896047374999999,0.0034124301293103443,0.7916837899999999,6.356495884423138,0.7434287256999998,-1.3376139725,3.815501000499997,7.978,3.0,14.0
calibration,none,0.0,0.79,79,232,205,8,0.034482758620689655,6,0.75,0.1325,0.15103952625,0.8489604737499999,0.09896047374999999,0.0034124301293103443,0.7916837899999999,6.356495884423138,0.7271070892399998,-1.26895124125,3.5662095319999976,8.03,3.0,13.0
calibration,none,0.0,0.8,80,232,205,8,0.034482758620689655,6,0.75,0.10125,0.11659375750000002,0.8834062425,0.1334062425,0.0046002152586206895,1.06724994,6.632062034423138,1.17267287502,-1.00280832175,3.9878286469999997,7.948,3.0,14.0
calibration,none,0.0,0.81,81,232,205,7,0.03017241379310345,5,0.7142857142857143,0.08857142857142859,0.10485501857142857,0.8951449814285715,0.18085926714285713,0.005456960646551724,1.26601487,5.9353781180213705,1.21799386908,-0.80091071,4.239997923749999,6.784,2.0,12.0
