price_col,low,high,spot_mode,min_favorable_distance,max_abs_distance,trades,contracts,total_opportunities,skipped_opportunities,total_contracts,successes,failures,success_rate,avg_price,gross_profit,fees,net_profit,net_per_contract,net_per_total_contract,roi_on_cost
mid_p,0.5,0.625,agrees,,100.0,22,44.0,157,135,314.0,13,9,0.5909090909090909,0.5872727272727273,0.15999999999999992,0.7368759999999998,-0.5768759999999996,-0.013110818181818173,-0.001837184713375795,-0.02232492260061918
mid_p,0.5,0.625,agrees,,150.0,25,50.0,157,132,314.0,16,9,0.64,0.5892,2.54,0.8372700000000002,1.70273,0.034054600000000004,0.005422707006369427,0.0577980312287848
mid_p,0.5,0.625,agrees,,200.0,30,60.0,157,127,314.0,18,12,0.6,0.589,0.6600000000000001,1.00597,-0.34597000000000033,-0.005766166666666672,-0.001101815286624205,-0.009789756649688749
mid_p,0.5,0.625,agrees,25.0,,25,50.0,157,132,314.0,15,10,0.6,0.5912,0.44000000000000017,0.8352400000000002,-0.39524000000000004,-0.0079048,-0.0012587261146496816,-0.013370771312584576
mid_p,0.5,0.625,agrees,25.0,75.0,12,24.0,157,145,314.0,8,4,0.6666666666666666,0.5858333333333333,1.94,0.4042220000000001,1.535778,0.06399075,0.004891012738853504,0.10923029871977243
mid_p,0.5,0.625,agrees,25.0,100.0,16,32.0,157,141,314.0,9,7,0.5625,0.595,-1.04,0.5311600000000001,-1.57116,-0.04909875,-0.005003694267515923,-0.08251890756302521
mid_p,0.5,0.625,agrees,25.0,150.0,19,38.0,157,138,314.0,12,7,0.631578947368421,0.5963157894736841,1.3400000000000003,0.631554,0.7084460000000006,0.0186433157894737,0.002256197452229301,0.03126416593115625
mid_p,0.5,0.625,agrees,25.0,200.0,24,48.0,157,133,314.0,14,10,0.5833333333333334,0.5945833333333334,-0.5399999999999991,0.800254,-1.3402540000000003,-0.02792195833333334,-0.004268324840764332,-0.0469605466012614
mid_p,0.5,0.625,agrees,50.0,,19,38.0,157,138,314.0,12,7,0.631578947368421,0.5942105263157893,1.4199999999999997,0.632366,0.7876340000000002,0.020727210526315792,0.0025083885350318477,0.034881930912311794
mid_p,0.5,0.625,agrees,50.0,75.0,6,12.0,157,151,314.0,5,1,0.8333333333333334,0.5900000000000001,2.92,0.20134800000000003,2.718652,0.22655433333333333,0.008658127388535032,0.38399039548022595
mid_p,0.5,0.625,agrees,50.0,100.0,10,20.0,157,147,314.0,6,4,0.6,0.603,-0.05999999999999983,0.3282860000000001,-0.38828599999999935,-0.019414299999999968,-0.0012365796178343928,-0.03219618573797673
mid_p,0.5,0.625,agrees,50.0,150.0,13,26.0,157,144,314.0,9,4,0.6923076923076923,0.6030769230769232,2.3200000000000003,0.4286800000000001,1.8913200000000001,0.07274307692307692,0.006023312101910828,0.12061989795918367
mid_p,0.5,0.625,agrees,50.0,200.0,18,36.0,157,139,314.0,11,7,0.6111111111111112,0.5988888888888888,0.43999999999999995,0.5973800000000002,-0.1573799999999994,-0.0043716666666666504,-0.0005012101910828007,-0.0072996289424860595
mid_p,0.5,0.625,agrees,75.0,,13,26.0,157,144,314.0,7,6,0.5384615384615384,0.5961538461538463,-1.4999999999999998,0.4310180000000001,-1.9310179999999997,-0.07426992307692307,-0.006149738853503184,-0.12458180645161286
mid_p,0.5,0.625,agrees,75.0,100.0,4,8.0,157,153,314.0,1,3,0.25,0.6224999999999999,-2.9799999999999995,0.12693800000000002,-3.1069379999999995,-0.38836724999999994,-0.009894707006369425,-0.6238831325301204
mid_p,0.5,0.625,agrees,75.0,150.0,7,14.0,157,150,314.0,4,3,0.5714285714285714,0.6142857142857142,-0.5999999999999996,0.22733200000000003,-0.8273319999999995,-0.059095142857142825,-0.0026348152866242022,-0.09620139534883716
mid_p,0.5,0.625,agrees,75.0,200.0,12,24.0,157,145,314.0,6,6,0.5,0.6033333333333334,-2.4799999999999995,0.3960320000000001,-2.8760320000000004,-0.11983466666666669,-0.009159337579617836,-0.19862099447513812
mid_p,0.5,0.65,none,,,51,102.0,157,106,314.0,31,20,0.6078431372549019,0.5752941176470588,3.3199999999999994,1.7165680000000003,1.6034319999999993,0.015719921568627445,0.005106471337579616,0.027325017041581447
mid_p,0.5,0.65,agrees,,,35,70.0,157,122,314.0,23,12,0.6571428571428571,0.5905714285714285,4.660000000000001,1.1722620000000004,3.4877379999999993,0.04982482857142856,0.01110744585987261,0.08436715045960329
mid_p,0.5,0.65,agrees,,75.0,21,42.0,157,136,314.0,15,6,0.7142857142857143,0.5866666666666667,5.359999999999999,0.7076439999999998,4.652355999999999,0.11077038095238094,0.014816420382165603,0.18881314935064933
mid_p,0.5,0.65,agrees,,100.0,25,50.0,157,132,314.0,16,9,0.64,0.5924,2.3799999999999994,0.834582,1.5454179999999997,0.030908359999999996,0.0049217133757961775,0.05217481431465225
mid_p,0.5,0.65,agrees,,150.0,29,58.0,157,128,314.0,20,9,0.6896551724137931,0.5937931034482758,5.5600000000000005,0.9685759999999999,4.591424,0.07916248275862069,0.014622369426751592,0.13331660859465738
mid_p,0.5,0.65,agrees,,200.0,34,68.0,157,123,314.0,22,12,0.6470588235294118,0.5929411764705881,3.6800000000000006,1.1372760000000002,2.5427239999999993,0.03739299999999999,0.00809784713375796,0.06306359126984126
mid_p,0.5,0.65,agrees,25.0,,28,56.0,157,129,314.0,18,10,0.6428571428571429,0.5939285714285714,2.7400000000000007,0.9342900000000001,1.8057100000000004,0.032244821428571435,0.005750668789808918,0.05429073962717981
mid_p,0.5,0.65,agrees,25.0,75.0,14,28.0,157,143,314.0,10,4,0.7142857142857143,0.5914285714285715,3.4399999999999995,0.46967200000000014,2.970328,0.10608314285714285,0.00945964331210191,0.17936763285024152
mid_p,0.5,0.65,agrees,25.0,100.0,18,36.0,157,139,314.0,11,7,0.6111111111111112,0.5983333333333333,0.45999999999999996,0.59661,-0.13660999999999968,-0.0037947222222222132,-0.0004350636942675149,-0.006342154131847711
mid_p,0.5,0.65,agrees,25.0,150.0,22,44.0,157,135,314.0,15,7,0.6818181818181818,0.5990909090909091,3.6399999999999997,0.730604,2.909396,0.06612263636363637,0.009265592356687898,0.11037162367223066
mid_p,0.5,0.65,agrees,25.0,200.0,27,54.0,157,130,314.0,17,10,0.6296296296296297,0.597037037037037,1.7600000000000002,0.8993040000000001,0.8606960000000003,0.015938814814814822,0.0027410700636942686,0.02669652605459058
mid_p,0.5,0.65,agrees,50.0,,21,42.0,157,136,314.0,14,7,0.6666666666666666,0.597142857142857,2.920000000000001,0.697816,2.2221840000000004,0.05290914285714286,0.007077019108280256,0.08860382775119621
