price_col,low,high,spot_mode,min_favorable_distance,max_abs_distance,rule,opportunities,known_quantity_rows,missing_quantity_rows,successes,failures,total_floor_contract_capacity,median_floor_contract_capacity,max_floor_contract_capacity,scaled_gross_profit_before_fees,scaled_fees,scaled_net_profit,scaled_turnover_cost,max_single_trade_cost,min_cumulative_pnl,max_drawdown
mid_p,0.55,0.9,agrees,50.0,150.0,0.55 < mid p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,46,35,11,38,8,34433,549.0,5236,7885.810000000001,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.55,0.9,agrees,50.0,150.0,0.55 < ask p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,46,35,11,38,8,34433,549.0,5236,7885.810000000001,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.875,agrees,50.0,150.0,0.53 < mid p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,45,35,10,37,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.189999999995,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.55,0.875,agrees,50.0,150.0,0.55 < mid p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,45,35,10,37,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.189999999995,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.55,0.875,agrees,50.0,150.0,0.55 < ask p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,45,35,10,37,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.189999999995,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.5,0.85,agrees,50.0,150.0,0.50 < mid p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,44,35,9,36,8,34433,549.0,5236,7885.81,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.85,agrees,50.0,150.0,0.53 < mid p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,42,35,7,34,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.55,0.85,agrees,50.0,150.0,0.55 < mid p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,42,35,7,34,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.55,0.85,agrees,50.0,150.0,0.55 < ask p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,41,35,6,33,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.5,0.825,agrees,50.0,150.0,0.50 < mid p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,40,35,5,32,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.5,0.825,agrees,50.0,150.0,0.50 < ask p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,40,35,5,32,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.525,0.825,agrees,50.0,150.0,0.53 < ask p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,40,35,5,32,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223737,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.825,agrees,50.0,150.0,0.53 < mid p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,38,35,3,30,8,34433,549.0,5236,7885.81,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.55,0.825,agrees,50.0,150.0,0.55 < mid p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,38,35,3,30,8,34433,549.0,5236,7885.81,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.55,0.825,agrees,50.0,150.0,0.55 < ask p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,38,35,3,30,8,34433,549.0,5236,7885.81,498.58626300000003,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.5,0.8,agrees,50.0,150.0,0.50 < mid p < 0.80; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,37,35,2,30,7,34433,549.0,5236,7885.81,498.586263,7387.223737,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.525,0.8,agrees,50.0,150.0,0.53 < mid p < 0.80; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,35,35,0,28,7,34433,549.0,5236,7885.8099999999995,498.586263,7387.223737,24009.189999999995,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.55,0.8,agrees,50.0,150.0,0.55 < mid p < 0.80; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,35,35,0,28,7,34433,549.0,5236,7885.8099999999995,498.586263,7387.223737,24009.189999999995,3508.1200000000003,-232.01937199999986,-1009.023288
mid_p,0.5,0.9,agrees,50.0,150.0,0.50 < mid p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,48,35,13,40,8,34433,549.0,5236,7885.8099999999995,498.5862630000001,7387.223736999999,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.5,0.9,agrees,50.0,150.0,0.50 < ask p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,48,35,13,40,8,34433,549.0,5236,7885.8099999999995,498.5862630000001,7387.223736999999,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.525,0.9,agrees,50.0,150.0,0.53 < ask p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,48,35,13,40,8,34433,549.0,5236,7885.8099999999995,498.5862630000001,7387.223736999999,24009.190000000002,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.5,0.85,agrees,50.0,150.0,0.50 < ask p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,43,35,8,35,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223736999999,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.525,0.85,agrees,50.0,150.0,0.53 < ask p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,43,35,8,35,8,34433,549.0,5236,7885.8099999999995,498.58626300000003,7387.223736999999,24009.19,3508.1200000000003,-232.01937199999986,-1009.023288
ask_p,0.575,0.775,agrees,50.0,200.0,0.57 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $200,36,36,0,29,7,36261,441.5,5236,7891.29,531.292643,7359.997357,25100.71,3508.1200000000003,-654.231354,-984.4312500000001
mid_p,0.6,0.95,agrees,50.0,150.0,0.60 < mid p < 0.95; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,41,27,14,36,5,28927,549.0,5236,7757.559999999999,411.6993580000001,7345.860642,20517.44,3508.1200000000003,-145.98815399999998,-222.84841400000005
mid_p,0.6,0.9,agrees,50.0,150.0,0.60 < mid p < 0.90; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,38,27,11,33,5,28927,549.0,5236,7757.56,411.699358,7345.860642,20517.439999999995,3508.1200000000003,-145.98815399999998,-222.84841400000005
