timestamp_utc,event,contract_id,close_time,remaining_seconds,entry_seconds,band_low,band_high,yes_bid,yes_ask,no_bid,no_ask,yes_mid,selected_side,selected_probability,selected_ask,selected_ask_qty,contracts,dry_run,order_status,order_id,fill_price,filled_size,actual_side,actual_label,correct,kalshi_price,kalshi_target,kalshi_target_source,successful_count,unsuccessful_count,skipped_count,valid_orderbook,invalid_orderbook_reasons,reason
2026-06-04T20:50:04.508Z,decision,KXBTC15M-26JUN041700-00,2026-06-04T21:00:00Z,598.123,600,0.6,0.8,0.29,0.3,0.7,0.71,0.305,NO,0.6950000000000001,0.7,941.53,2,0,filled,83b653a1-b8fd-4cb7-8846-ed3d7959294d,0.7,2.0,,,,,,,0,0,4,1,,filled 2 at 70.0c
2026-06-04T21:00:10.247Z,outcome,KXBTC15M-26JUN041700-00,2026-06-04T21:00:00Z,-7.211,600,0.6,0.8,,,,,,NO,0.6950000000000001,0.7,941.53,2,0,filled,83b653a1-b8fd-4cb7-8846-ed3d7959294d,0.7,2.0,YES,1,0,63586.36,63532.07,observed_source_snapshot,0,1,4,1,,unsuccessful
2026-06-04T21:05:06.407Z,decision,KXBTC15M-26JUN041715-15,2026-06-04T21:15:00Z,596.154,600,0.6,0.8,0.83,0.84,0.16,0.17,0.835,,0.835,,,2,0,skip,,,,,,,,,,0,1,5,1,,more likely side 0.8350 outside band 0.60-0.80
2026-06-04T21:15:07.656Z,outcome,KXBTC15M-26JUN041715-15,2026-06-04T21:15:00Z,-6.734,600,0.6,0.8,,,,,,,0.835,,,2,0,skip,,,0.0,YES,1,,63746.88,63578.9,observed_source_snapshot,0,1,5,1,,skipped
2026-06-04T21:20:03.624Z,decision,KXBTC15M-26JUN041730-30,2026-06-04T21:30:00Z,599.970,600,0.6,0.8,0.16,0.17,0.83,0.84,0.165,,0.835,,,2,0,skip,,,,,,,,,,0,1,6,1,,more likely side 0.8350 outside band 0.60-0.80
2026-06-04T21:30:07.823Z,outcome,KXBTC15M-26JUN041730-30,2026-06-04T21:30:00Z,-6.985,600,0.6,0.8,,,,,,,0.835,,,2,0,skip,,,0.0,NO,0,,63501.29,63740.94,observed_source_snapshot,0,1,6,1,,skipped
2026-06-04T21:34:33.607Z,decision,KXBTC15M-26JUN041745-45,2026-06-04T21:45:00Z,629.183,630.0,0.55,0.8,0.28,0.3,0.7,0.72,0.295,NO,0.7050000000000001,0.71,2012.66,2,0,filled,9be92793-8df5-4b63-9b00-10dedfb7672c,0.7,2.0,,,,,,,0,0,0,1,,filled 2 at 70.0c
2026-06-04T21:45:06.707Z,outcome,KXBTC15M-26JUN041745-45,2026-06-04T21:45:00Z,-5.547,630.0,0.55,0.8,,,,,,NO,0.7050000000000001,0.71,2012.66,2,0,filled,9be92793-8df5-4b63-9b00-10dedfb7672c,0.7,2.0,NO,0,1,63344.32,63432.13,observed_source_snapshot,1,0,0,1,,successful
2026-06-04T21:49:34.180Z,decision,KXBTC15M-26JUN041800-00,2026-06-04T22:00:00Z,628.386,630.0,0.55,0.8,0.4,0.41,0.59,0.6,0.425,NO,0.575,0.58,2667.39,2,0,filled,fa87fd04-ee69-4478-8357-491135f678c5,0.58,2.0,,,,,,,1,0,0,1,,filled 2 at 58.0c
2026-06-04T22:00:07.536Z,outcome,KXBTC15M-26JUN041800-00,2026-06-04T22:00:00Z,-6.732,630.0,0.55,0.8,,,,,,NO,0.575,0.58,2667.39,2,0,filled,fa87fd04-ee69-4478-8357-491135f678c5,0.58,2.0,NO,0,1,63208.99,63397.86,observed_source_snapshot,2,0,0,1,,successful
2026-06-04T22:04:35.618Z,decision,KXBTC15M-26JUN041815-15,2026-06-04T22:15:00Z,627.344,630.0,0.55,0.8,0.59,0.6,0.4,0.41,0.605,YES,0.605,0.61,824.84,2,0,filled,1d6da1c9-cd1e-4977-af0c-d892546446a8,0.6,2.0,,,,,,,2,0,0,1,,filled 2 at 60.0c
2026-06-04T22:15:07.455Z,outcome,KXBTC15M-26JUN041815-15,2026-06-04T22:15:00Z,-6.648,630.0,0.55,0.8,,,,,,YES,0.605,0.61,824.84,2,0,filled,1d6da1c9-cd1e-4977-af0c-d892546446a8,0.6,2.0,NO,0,0,63200.64,63232.72,observed_source_snapshot,2,1,0,1,,unsuccessful
2026-06-04T22:19:35.300Z,decision,KXBTC15M-26JUN041830-30,2026-06-04T22:30:00Z,628.150,630.0,0.55,0.8,0.71,0.72,0.28,0.29,0.765,YES,0.765,0.77,135.14,2,0,filled,0502a1e3-b7c5-4219-b251-55894688a1c4,0.77,2.0,,,,,,,2,1,0,1,,filled 2 at 77.0c
2026-06-04T22:30:07.195Z,outcome,KXBTC15M-26JUN041830-30,2026-06-04T22:30:00Z,-6.276,630.0,0.55,0.8,,,,,,YES,0.765,0.77,135.14,2,0,filled,0502a1e3-b7c5-4219-b251-55894688a1c4,0.77,2.0,YES,1,1,63302.54,63220.92,observed_source_snapshot,3,1,0,1,,successful
2026-06-04T22:34:35.712Z,decision,KXBTC15M-26JUN041845-45,2026-06-04T22:45:00Z,627.114,630.0,0.55,0.8,0.31,0.32,0.68,0.69,0.335,NO,0.665,0.67,258.97,2,0,filled,92e8e613-fda5-4f17-938a-cac9664074e3,0.67,2.0,,,,,,,3,1,0,1,,filled 2 at 67.0c
2026-06-04T22:45:07.498Z,outcome,KXBTC15M-26JUN041845-45,2026-06-04T22:45:00Z,-6.579,630.0,0.55,0.8,,,,,,NO,0.665,0.67,258.97,2,0,filled,92e8e613-fda5-4f17-938a-cac9664074e3,0.67,2.0,YES,1,0,63433.82,63298.02,observed_source_snapshot,3,2,0,1,,unsuccessful
2026-06-04T22:49:34.328Z,decision,KXBTC15M-26JUN041900-00,2026-06-04T23:00:00Z,628.312,630.0,0.55,0.8,0.79,0.8,0.2,0.21,0.795,YES,0.795,0.8,430.0,2,0,filled,ea5b71ca-4673-4043-b5e2-10e75fa4db9d,0.8,2.0,,,,,,,3,2,0,1,,filled 2 at 80.0c
2026-06-04T23:00:08.329Z,outcome,KXBTC15M-26JUN041900-00,2026-06-04T23:00:00Z,-7.306,630.0,0.55,0.8,,,,,,YES,0.795,0.8,430.0,2,0,filled,ea5b71ca-4673-4043-b5e2-10e75fa4db9d,0.8,2.0,YES,1,1,63708.46,63439.89,observed_source_snapshot,4,2,0,1,,successful
2026-06-04T23:04:35.877Z,decision,KXBTC15M-26JUN041915-15,2026-06-04T23:15:00Z,626.951,630.0,0.55,0.8,0.7,0.71,0.29,0.3,0.715,YES,0.715,0.72,455.0,2,0,filled,4fd2c838-fb76-444d-bde3-281a39eef578,0.72,2.0,,,,,,,4,2,0,1,,filled 2 at 72.0c
2026-06-04T23:19:34.814Z,decision,KXBTC15M-26JUN041930-30,2026-06-04T23:30:00Z,628.379,630.0,0.55,0.8,0.09,0.091,0.909,0.91,0.0905,,0.9095,,,2,0,skip,,,,,,,,,,4,2,1,1,,more likely side 0.9095 outside band 0.55-0.80
2026-06-04T23:30:07.314Z,outcome,KXBTC15M-26JUN041930-30,2026-06-04T23:30:00Z,-6.489,630.0,0.55,0.8,,,,,,,0.9095,,,2,0,skip,,,0.0,NO,0,,63467.9,63563.94,observed_source_snapshot,4,2,1,1,,skipped
2026-06-04T23:34:36.009Z,decision,KXBTC15M-26JUN041945-45,2026-06-04T23:45:00Z,627.186,630.0,0.55,0.8,0.76,0.77,0.23,0.24,0.775,YES,0.775,0.78,433.48,2,0,filled,db5ce55a-8e0f-427e-9a88-ac4a5ee791c5,0.78,2.0,,,,,,,4,2,1,1,,filled 2 at 78.0c
2026-06-04T23:45:06.927Z,outcome,KXBTC15M-26JUN041945-45,2026-06-04T23:45:00Z,-6.038,630.0,0.55,0.8,,,,,,YES,0.775,0.78,433.48,2,0,filled,db5ce55a-8e0f-427e-9a88-ac4a5ee791c5,0.78,2.0,YES,1,1,63695.03,63437.03,observed_source_snapshot,5,2,1,1,,successful
2026-06-04T23:49:34.487Z,decision,KXBTC15M-26JUN042000-00,2026-06-05T00:00:00Z,628.703,630.0,0.55,0.8,0.4,0.41,0.59,0.6,0.415,NO,0.585,0.59,3945.9,2,0,filled,fd9d487f-33e9-402e-8279-494940f50ed1,0.53,2.0,,,,,,,5,2,1,1,,filled 2 at 53.0c
2026-06-05T00:00:07.079Z,outcome,KXBTC15M-26JUN042000-00,2026-06-05T00:00:00Z,-6.239,630.0,0.55,0.8,,,,,,NO,0.585,0.59,3945.9,2,0,filled,fd9d487f-33e9-402e-8279-494940f50ed1,0.53,2.0,YES,1,0,63792.82,63701.19,observed_source_snapshot,5,3,1,1,,unsuccessful
2026-06-05T00:04:33.208Z,decision,KXBTC15M-26JUN042015-15,2026-06-05T00:15:00Z,629.266,630.0,0.55,0.8,0.15,0.16,0.84,0.85,0.155,,0.845,,,2,0,skip,,,,,,,,,,5,3,2,1,,more likely side 0.8450 outside band 0.55-0.80
2026-06-05T00:15:05.415Z,outcome,KXBTC15M-26JUN042015-15,2026-06-05T00:15:00Z,-4.585,630.0,0.55,0.8,,,,,,,0.845,,,2,0,skip,,,0.0,NO,0,,63639.42,63815.34,observed_source_snapshot,5,3,2,1,,skipped
2026-06-05T00:19:36.007Z,decision,KXBTC15M-26JUN042030-30,2026-06-05T00:30:00Z,626.393,630.0,0.55,0.8,0.65,0.66,0.34,0.35,0.625,YES,0.625,0.63,495.02,2,0,filled,f5df2806-6c3d-485b-b189-34dbc6d85d73,0.63,2.0,,,,,,,5,3,2,1,,filled 2 at 63.0c
2026-06-05T00:30:06.498Z,outcome,KXBTC15M-26JUN042030-30,2026-06-05T00:30:00Z,-5.614,630.0,0.55,0.8,,,,,,YES,0.625,0.63,495.02,2,0,filled,f5df2806-6c3d-485b-b189-34dbc6d85d73,0.63,2.0,YES,1,1,63829.31,63599.08,observed_source_snapshot,6,3,2,1,,successful
2026-06-05T00:34:34.007Z,decision,KXBTC15M-26JUN042045-45,2026-06-05T00:45:00Z,628.619,630.0,0.55,0.8,0.53,0.54,0.46,0.47,0.535,,0.535,,,2,0,skip,,,,,,,,,,6,3,3,1,,more likely side 0.5350 outside band 0.55-0.80
2026-06-05T00:45:07.393Z,outcome,KXBTC15M-26JUN042045-45,2026-06-05T00:45:00Z,-6.572,630.0,0.55,0.8,,,,,,,0.535,,,2,0,skip,,,0.0,NO,0,,63672.64,63799.39,observed_source_snapshot,6,3,3,1,,skipped
2026-06-05T00:49:36.328Z,decision,KXBTC15M-26JUN042100-00,2026-06-05T01:00:00Z,626.785,630.0,0.55,0.8,0.63,0.64,0.36,0.37,0.605,YES,0.605,0.61,4889.85,2,0,filled,441291cd-b41b-493d-b305-fa84ecae4060,0.61,2.0,,,,,,,6,3,3,1,,filled 2 at 61.0c
2026-06-05T01:00:11.691Z,outcome,KXBTC15M-26JUN042100-00,2026-06-05T01:00:00Z,-7.606,630.0,0.55,0.8,,,,,,YES,0.605,0.61,4889.85,2,0,filled,441291cd-b41b-493d-b305-fa84ecae4060,0.61,2.0,NO,0,0,63363.35,63656.79,observed_source_snapshot,6,4,3,1,,unsuccessful
2026-06-05T01:04:34.089Z,decision,KXBTC15M-26JUN042115-15,2026-06-05T01:15:00Z,628.390,630.0,0.55,0.8,0.075,0.077,0.923,0.925,0.076,,0.924,,,2,0,skip,,,,,,,,,,6,4,4,1,,more likely side 0.9240 outside band 0.55-0.80
2026-06-05T01:15:05.784Z,outcome,KXBTC15M-26JUN042115-15,2026-06-05T01:15:00Z,-2.205,630.0,0.55,0.8,,,,,,,0.924,,,2,0,skip,,,0.0,NO,0,,63217.62,63352.53,observed_source_snapshot,6,4,4,1,,skipped
2026-06-05T01:19:36.294Z,decision,KXBTC15M-26JUN042130-30,2026-06-05T01:30:00Z,626.553,630.0,0.55,0.8,0.57,0.58,0.42,0.43,0.595,YES,0.595,0.6,3.0,2,0,filled,5393bab9-9982-493a-a284-f223fab28438,0.6,2.0,,,,,,,6,4,4,1,,filled 2 at 60.0c
2026-06-05T01:30:08.198Z,outcome,KXBTC15M-26JUN042130-30,2026-06-05T01:30:00Z,-7.391,630.0,0.55,0.8,,,,,,YES,0.595,0.6,3.0,2,0,filled,5393bab9-9982-493a-a284-f223fab28438,0.6,2.0,NO,0,0,63240.64,63243.21,observed_source_snapshot,6,5,4,1,,unsuccessful
2026-06-05T01:34:35.847Z,decision,KXBTC15M-26JUN042145-45,2026-06-05T01:45:00Z,626.865,630.0,0.55,0.8,0.66,0.68,0.32,0.34,0.675,YES,0.675,0.68,1106.0,2,0,filled,41dd3555-f884-4921-85c1-05270e01de42,0.68,2.0,,,,,,,6,5,4,1,,filled 2 at 68.0c
2026-06-05T01:45:07.130Z,outcome,KXBTC15M-26JUN042145-45,2026-06-05T01:45:00Z,-6.253,630.0,0.55,0.8,,,,,,YES,0.675,0.68,1106.0,2,0,filled,41dd3555-f884-4921-85c1-05270e01de42,0.68,2.0,YES,1,1,63284.74,63253.92,observed_source_snapshot,7,5,4,1,,successful
2026-06-05T01:49:35.291Z,decision,KXBTC15M-26JUN042200-00,2026-06-05T02:00:00Z,627.427,630.0,0.55,0.8,0.29,0.3,0.7,0.71,0.27,NO,0.73,0.74,1261.62,2,0,filled,82d18633-5120-4618-8c2b-6cd0bef9f766,0.73,2.0,,,,,,,7,5,4,1,,filled 2 at 73.0c
2026-06-05T02:00:05.481Z,outcome,KXBTC15M-26JUN042200-00,2026-06-05T02:00:00Z,-2.005,630.0,0.55,0.8,,,,,,NO,0.73,0.74,1261.62,2,0,filled,82d18633-5120-4618-8c2b-6cd0bef9f766,0.73,2.0,NO,0,1,63312.96,63331.21,observed_source_snapshot,8,5,4,1,,successful
2026-06-05T02:04:35.554Z,decision,KXBTC15M-26JUN042215-15,2026-06-05T02:15:00Z,626.697,630.0,0.55,0.8,0.39,0.41,0.59,0.61,0.365,NO,0.635,0.64,331.76,2,0,filled,acd2cd21-468a-470e-aa13-b441da70705d,0.64,2.0,,,,,,,8,5,4,1,,filled 2 at 64.0c
2026-06-05T02:19:33.892Z,decision,KXBTC15M-26JUN042230-30,2026-06-05T02:30:00Z,629.349,630.0,0.55,0.8,0.26,0.27,0.73,0.74,0.175,NO,0.735,0.83,3389.87,2,0,skip,,,0.0,,,,,,,8,5,5,1,,no fill/valid liquidity after 10 attempts; last=more likely side 0.8250 outside band 0.55-0.80
2026-06-05T02:30:04.842Z,outcome,KXBTC15M-26JUN042230-30,2026-06-05T02:30:00Z,-2.215,630.0,0.55,0.8,,,,,,NO,0.735,0.83,3389.87,2,0,skip,,,0.0,NO,0,,62696.59,63121.74,observed_source_snapshot,8,5,5,1,,skipped
2026-06-05T02:34:34.828Z,decision,KXBTC15M-26JUN042245-45,2026-06-05T02:45:00Z,627.829,630.0,0.55,0.8,0.71,0.72,0.28,0.29,0.74,YES,0.74,0.75,549.5,2,0,filled,b0ec924f-1515-4bfc-9899-0e7573cc59e7,0.75,2.0,,,,,,,8,5,5,1,,filled 2 at 75.0c
2026-06-05T02:45:05.063Z,outcome,KXBTC15M-26JUN042245-45,2026-06-05T02:45:00Z,-2.666,630.0,0.55,0.8,,,,,,YES,0.74,0.75,549.5,2,0,filled,b0ec924f-1515-4bfc-9899-0e7573cc59e7,0.75,2.0,YES,1,1,62685.23,62668.25,observed_source_snapshot,9,5,5,1,,successful
2026-06-05T02:49:35.609Z,decision,KXBTC15M-26JUN042300-00,2026-06-05T03:00:00Z,627.507,630.0,0.55,0.8,0.4,0.41,0.59,0.6,0.405,NO,0.595,0.6,594.0,2,0,filled,768ede66-2e47-4a88-871a-e1a3c2661b3b,0.59,2.0,,,,,,,9,5,5,1,,filled 2 at 59.0c
2026-06-05T03:00:08.913Z,outcome,KXBTC15M-26JUN042300-00,2026-06-05T03:00:00Z,-6.328,630.0,0.55,0.8,,,,,,NO,0.595,0.6,594.0,2,0,filled,768ede66-2e47-4a88-871a-e1a3c2661b3b,0.59,2.0,NO,0,1,62538.6,62707.0,observed_source_snapshot,10,5,5,1,,successful
2026-06-05T03:04:33.370Z,decision,KXBTC15M-26JUN042315-15,2026-06-05T03:15:00Z,629.429,630.0,0.55,0.8,0.39,0.4,0.6,0.61,0.41000000000000003,NO,0.59,0.6,2036.0,2,0,filled,a89bbab4-8b7f-4555-b3ef-025c6020d5e4,0.6,2.0,,,,,,,10,5,5,1,,filled 2 at 60.0c
2026-06-05T03:15:08.168Z,outcome,KXBTC15M-26JUN042315-15,2026-06-05T03:15:00Z,-6.581,630.0,0.55,0.8,,,,,,NO,0.59,0.6,2036.0,2,0,filled,a89bbab4-8b7f-4555-b3ef-025c6020d5e4,0.6,2.0,NO,0,1,62315.96,62547.94,observed_source_snapshot,11,5,5,1,,successful
2026-06-05T03:19:33.851Z,decision,KXBTC15M-26JUN042330-30,2026-06-05T03:30:00Z,628.474,630.0,0.55,0.8,0.943,0.951,0.049,0.057,0.947,,0.947,,,2,0,skip,,,,,,,,,,11,5,6,1,,more likely side 0.9470 outside band 0.55-0.80
2026-06-05T03:30:07.796Z,outcome,KXBTC15M-26JUN042330-30,2026-06-05T03:30:00Z,-6.893,630.0,0.55,0.8,,,,,,,0.947,,,2,0,skip,,,0.0,YES,1,,62466.04,62319.83,observed_source_snapshot,11,5,6,1,,skipped
2026-06-05T03:34:35.543Z,decision,KXBTC15M-26JUN042345-45,2026-06-05T03:45:00Z,626.777,630.0,0.55,0.8,0.86,0.87,0.13,0.14,0.865,,0.865,,,2,0,skip,,,,,,,,,,11,5,7,1,,more likely side 0.8650 outside band 0.55-0.80
2026-06-05T03:45:06.561Z,outcome,KXBTC15M-26JUN042345-45,2026-06-05T03:45:00Z,-5.302,630.0,0.55,0.8,,,,,,,0.865,,,2,0,skip,,,0.0,YES,1,,62545.27,62522.98,observed_source_snapshot,11,5,7,1,,skipped
2026-06-05T03:49:35.929Z,decision,KXBTC15M-26JUN050000-00,2026-06-05T04:00:00Z,626.781,630.0,0.55,0.8,0.8,0.81,0.19,0.2,0.805,,0.805,,,2,0,skip,,,,,,,,,,11,5,8,1,,more likely side 0.8050 outside band 0.55-0.80
2026-06-05T04:00:07.079Z,outcome,KXBTC15M-26JUN050000-00,2026-06-05T04:00:00Z,-6.079,630.0,0.55,0.8,,,,,,,0.805,,,2,0,skip,,,0.0,YES,1,,62650.02,62602.52,observed_source_snapshot,11,5,8,1,,skipped
2026-06-05T04:04:35.066Z,decision,KXBTC15M-26JUN050015-15,2026-06-05T04:15:00Z,627.742,630.0,0.55,0.8,0.22,0.23,0.77,0.78,0.405,NO,0.595,0.6,1274.55,2,0,filled,ce3e8845-bbde-4cad-a991-eec56d650f7d,0.6,2.0,,,,,,,11,5,8,1,,filled 2 at 60.0c
2026-06-05T04:15:06.260Z,outcome,KXBTC15M-26JUN050015-15,2026-06-05T04:15:00Z,-5.311,630.0,0.55,0.8,,,,,,NO,0.595,0.6,1274.55,2,0,filled,ce3e8845-bbde-4cad-a991-eec56d650f7d,0.6,2.0,YES,1,0,62771.85,62650.53,observed_source_snapshot,11,6,8,1,,unsuccessful
2026-06-05T04:19:33.052Z,decision,KXBTC15M-26JUN050030-30,2026-06-05T04:30:00Z,629.001,630.0,0.55,0.8,0.19,0.2,0.8,0.81,0.195,,0.8049999999999999,,,2,0,skip,,,,,,,,,,11,6,9,1,,more likely side 0.8050 outside band 0.55-0.80
2026-06-05T04:30:05.940Z,outcome,KXBTC15M-26JUN050030-30,2026-06-05T04:30:00Z,-2.702,630.0,0.55,0.8,,,,,,,0.8049999999999999,,,2,0,skip,,,0.0,YES,1,,63136.59,62783.4,observed_source_snapshot,11,6,9,1,,skipped
2026-06-05T04:34:35.935Z,decision,KXBTC15M-26JUN050045-45,2026-06-05T04:45:00Z,626.459,630.0,0.55,0.8,0.22,0.23,0.77,0.78,0.215,NO,0.785,0.79,1040.14,2,0,filled,8f3ed47c-de05-4af3-aabb-e926004016a1,0.79,2.0,,,,,,,11,6,9,1,,filled 2 at 79.0c
2026-06-05T04:45:07.739Z,outcome,KXBTC15M-26JUN050045-45,2026-06-05T04:45:00Z,-6.914,630.0,0.55,0.8,,,,,,NO,0.785,0.79,1040.14,2,0,filled,8f3ed47c-de05-4af3-aabb-e926004016a1,0.79,2.0,NO,0,1,62939.6,63140.54,observed_source_snapshot,12,6,9,1,,successful
2026-06-05T04:49:36.022Z,decision,KXBTC15M-26JUN050100-00,2026-06-05T05:00:00Z,626.711,630.0,0.55,0.8,0.21,0.22,0.78,0.79,0.215,NO,0.785,0.79,41.91,2,0,filled,8dd984ab-9f7a-4233-bd98-b27d600a97d4,0.79,2.0,,,,,,,12,6,9,1,,filled 2 at 79.0c
2026-06-05T05:00:07.433Z,outcome,KXBTC15M-26JUN050100-00,2026-06-05T05:00:00Z,-6.539,630.0,0.55,0.8,,,,,,NO,0.785,0.79,41.91,2,0,filled,8dd984ab-9f7a-4233-bd98-b27d600a97d4,0.79,2.0,YES,1,0,63527.12,62950.55,observed_source_snapshot,12,7,9,1,,unsuccessful
2026-06-05T05:04:35.222Z,decision,KXBTC15M-26JUN050115-15,2026-06-05T05:15:00Z,627.253,630.0,0.55,0.8,0.2,0.21,0.79,0.8,0.155,NO,0.7949999999999999,0.85,1344.3,2,0,skip,,,0.0,,,,,,,12,7,10,1,,no fill/valid liquidity after 10 attempts; last=more likely side 0.8450 outside band 0.55-0.80
2026-06-05T05:15:07.782Z,outcome,KXBTC15M-26JUN050115-15,2026-06-05T05:15:00Z,-5.215,630.0,0.55,0.8,,,,,,NO,0.7949999999999999,0.85,1344.3,2,0,skip,,,0.0,NO,0,,63290.18,63544.52,observed_source_snapshot,12,7,10,1,,skipped
2026-06-05T05:19:33.135Z,decision,KXBTC15M-26JUN050130-30,2026-06-05T05:30:00Z,629.830,630.0,0.55,0.8,0.38,0.39,0.61,0.62,0.385,NO,0.615,0.62,75.0,2,0,filled,83c50d5d-50f5-4677-bffa-550d44b0992b,0.61,2.0,,,,,,,12,7,10,1,,filled 2 at 61.0c
2026-06-05T05:30:09.530Z,outcome,KXBTC15M-26JUN050130-30,2026-06-05T05:30:00Z,-6.597,630.0,0.55,0.8,,,,,,NO,0.615,0.62,75.0,2,0,filled,83c50d5d-50f5-4677-bffa-550d44b0992b,0.61,2.0,YES,1,0,63422.22,63312.16,observed_source_snapshot,12,8,10,1,,unsuccessful
2026-06-05T05:34:33.375Z,decision,KXBTC15M-26JUN050145-45,2026-06-05T05:45:00Z,629.027,630.0,0.55,0.8,0.24,0.25,0.75,0.76,0.245,NO,0.755,0.76,1813.74,2,0,filled,ace0f929-a21d-44db-9b84-437e753654ac,0.74,2.0,,,,,,,12,8,10,1,,filled 2 at 74.0c
2026-06-05T05:45:06.025Z,outcome,KXBTC15M-26JUN050145-45,2026-06-05T05:45:00Z,-5.150,630.0,0.55,0.8,,,,,,NO,0.755,0.76,1813.74,2,0,filled,ace0f929-a21d-44db-9b84-437e753654ac,0.74,2.0,NO,0,1,62867.2,63425.95,observed_source_snapshot,13,8,10,1,,successful
2026-06-05T05:49:33.799Z,decision,KXBTC15M-26JUN050200-00,2026-06-05T06:00:00Z,629.181,630.0,0.55,0.8,0.31,0.32,0.68,0.69,0.28500000000000003,NO,0.715,0.72,1362.08,2,0,filled,65235dc6-67e1-4a15-b70e-11b68f0feba1,0.72,2.0,,,,,,,13,8,10,1,,filled 2 at 72.0c
2026-06-05T06:00:09.607Z,outcome,KXBTC15M-26JUN050200-00,2026-06-05T06:00:00Z,-7.387,630.0,0.55,0.8,,,,,,NO,0.715,0.72,1362.08,2,0,filled,65235dc6-67e1-4a15-b70e-11b68f0feba1,0.72,2.0,NO,0,1,62226.75,62847.12,observed_source_snapshot,14,8,10,1,,successful
2026-06-05T06:04:35.690Z,decision,KXBTC15M-26JUN050215-15,2026-06-05T06:15:00Z,627.430,630.0,0.55,0.8,0.3,0.31,0.69,0.7,0.305,NO,0.6950000000000001,0.7,91.91,2,0,filled,93f28746-d0ca-496d-9aa9-47d32ca6ef96,0.7,2.0,,,,,,,14,8,10,1,,filled 2 at 70.0c
2026-06-05T06:15:07.071Z,outcome,KXBTC15M-26JUN050215-15,2026-06-05T06:15:00Z,-5.456,630.0,0.55,0.8,,,,,,NO,0.6950000000000001,0.7,91.91,2,0,filled,93f28746-d0ca-496d-9aa9-47d32ca6ef96,0.7,2.0,NO,0,1,62083.38,62269.21,observed_source_snapshot,15,8,10,1,,successful
