timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,kalshi_btc_settlement_avg,kalshi_btc_settlement_sample_count,kalshi_btc_settlement_window_start,kalshi_btc_settlement_window_end,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-17T03:28:08.440Z,2026-05-17T03:28:05.399Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.68,0.69,0.31,0.32,0.685,0.66,469660.64,140444.63,623.27,125.0,2026-05-17T03:28:05.701Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.83,12145.153108,,56.52,207.86,2026-05-17T03:28:05.701Z,BRTI,77950.96,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77938.13924187401,77929.86498865283,1.0499999999999998,0.97,
2026-05-17T03:28:12.912Z,2026-05-17T03:28:09.291Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.68,0.69,0.31,0.32,0.685,0.66,469660.64,140444.63,569.04,38.12,2026-05-17T03:28:10.142Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.83,12145.153108,,56.27,147.26,2026-05-17T03:28:10.142Z,BRTI,77940.74,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77936.70725944938,77929.86498865283,1.0499999999999998,0.97,
2026-05-17T03:28:16.326Z,2026-05-17T03:28:14.286Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.68,0.69,0.31,0.32,0.685,0.66,469660.64,140444.63,461.32,1172.32,2026-05-17T03:28:14.864Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.63,0.64,0.36,0.37,0.635,0.83,12145.153108,,16.53,113.93,2026-05-17T03:28:14.864Z,BRTI,77939.85,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77936.54685271953,77929.86498865283,1.06,0.96,
2026-05-17T03:28:19.880Z,2026-05-17T03:28:16.656Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.68,0.69,0.31,0.32,0.685,0.66,469660.64,140444.63,129.36,1100.0,2026-05-17T03:28:16.921Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.61,0.62,0.38,0.39,0.615,0.83,12145.153108,,53.58,52.53,2026-05-17T03:28:16.921Z,BRTI,77939.85,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77936.53936266547,77929.86498865283,1.08,0.94,
2026-05-17T03:28:24.106Z,2026-05-17T03:28:21.284Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.69,0.7,0.3,0.31,0.695,0.66,469660.64,140444.63,120.94,1072.0,2026-05-17T03:28:22.111Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.83,12145.153108,,41.03,62.8,2026-05-17T03:28:22.111Z,BRTI,77939.78,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77937.70714813755,77929.86498865283,1.06,0.96,
2026-05-17T03:28:25.566Z,2026-05-17T03:28:24.350Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.69,0.7,0.3,0.31,0.695,0.66,469660.64,140444.63,635.83,1075.0,2026-05-17T03:28:24.606Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.64,0.65,0.35,0.36,0.645,0.83,12145.153108,,36.03,48.59,2026-05-17T03:28:24.606Z,BRTI,77941.05,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77937.89985579364,77929.86498865283,1.06,0.96,
2026-05-17T03:28:27.441Z,2026-05-17T03:28:26.350Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.69,0.7,0.3,0.31,0.695,0.66,469660.64,140444.63,685.68,1024.43,2026-05-17T03:28:26.584Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.65,0.66,0.34,0.35,0.655,0.83,12145.153108,,20.78,36.86,2026-05-17T03:28:26.584Z,BRTI,77940.69,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77936.76565669138,77929.86498865283,1.0499999999999998,0.97,
2026-05-17T03:28:30.146Z,2026-05-17T03:28:28.396Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.7,0.71,0.29,0.3,0.705,0.66,469660.64,140444.63,120.53,461.2,2026-05-17T03:28:28.693Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.65,0.66,0.34,0.35,0.655,0.83,12145.153108,,43.47,38.47,2026-05-17T03:28:28.693Z,BRTI,77940.74,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77937.98114066206,77929.86498865283,1.06,0.96,
2026-05-17T03:28:31.551Z,2026-05-17T03:28:30.396Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.7,0.71,0.29,0.3,0.705,0.66,469660.64,140444.63,125.0,1075.0,2026-05-17T03:28:30.637Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.65,0.66,0.34,0.35,0.655,0.83,12145.153108,,35.21,49.87,2026-05-17T03:28:30.637Z,BRTI,77941.22,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77938.00150366765,77929.86498865283,1.06,0.96,
2026-05-17T03:28:35.483Z,2026-05-17T03:28:32.992Z,KXBTC15M-26MAY162330-30,BTC price up in next 15 mins?,KXBTC15M-26MAY162330,2026-05-17T03:30:00Z,active,0.71,0.72,0.28,0.29,0.715,0.71,487325.66,142485.24,175.0,993.74,2026-05-17T03:28:33.556Z,btc-updown-15m-1778987700,"Bitcoin Up or Down - May 16, 11:15PM-11:30PM ET",btc-updown-15m-1778987700,2026-05-17T03:30:00Z,,0.67,0.68,0.32,0.33,0.675,0.83,12145.153108,,52.7,122.8,2026-05-17T03:28:33.556Z,BRTI,77955.04,77935.35,,0,2026-05-17T03:29:00.000Z,2026-05-17T03:30:00.000Z,Polymarket RTDS,77936.77087279772,77929.86498865283,1.05,0.97,
