timestamp_utc,kalshi_ticker,polymarket_ticker,kalshi_price,polymarket_price,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,arbitrage_direction,kalshi_spend,polymarket_spend,expected_profit,guaranteed_payout
2026-05-16T14:13:08.861Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:11.185Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.99,0.89,buy_kalshi_yes_buy_polymarket_no,0.021978021978021976,0.978021978021978,0.09890109890109877,1.0989010989010988
2026-05-16T14:13:13.398Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.99,0.89,buy_kalshi_yes_buy_polymarket_no,0.021978021978021976,0.978021978021978,0.09890109890109877,1.0989010989010988
2026-05-16T14:13:15.241Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.0195,0.11499999999999999,0.019,0.02,0.98,0.981,0.11,0.12,0.99,0.89,buy_kalshi_yes_buy_polymarket_no,0.021978021978021976,0.978021978021978,0.09890109890109877,1.0989010989010988
2026-05-16T14:13:17.210Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.99,0.89,buy_kalshi_yes_buy_polymarket_no,0.017660044150110375,0.9823399558498896,0.10375275938189832,1.1037527593818983
2026-05-16T14:13:19.132Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:20.903Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:22.748Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:25.295Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:27.216Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:28.947Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:31.204Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:33.209Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:35.017Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:37.122Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.98,0.99,,,,0.0,
2026-05-16T14:13:39.136Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.99,0.89,buy_kalshi_yes_buy_polymarket_no,0.017660044150110375,0.9823399558498896,0.10375275938189832,1.1037527593818983
2026-05-16T14:13:41.290Z,KXBTC15M-26MAY161015-15,btc-updown-15m-1778940000,0.014499999999999999,0.11499999999999999,0.013,0.016,0.984,0.987,0.11,0.12,0.99,0.89,buy_kalshi_yes_buy_polymarket_no,0.017660044150110375,0.9823399558498896,0.10375275938189832,1.1037527593818983
