open_time_ts,open_time_utc,open,high,low,close,volume,close_time_ts,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,binance_direction
1778183100,2026-05-07T19:45:00+00:00,80129.12,80224.00000000,80006.29000000,80146.11,143.90610000,1778183999,2026-05-07T19:59:59+00:00,11528757.12272940,27466,63.37036000,5076737.95726350,Up
1778184000,2026-05-07T20:00:00+00:00,80146.77,80371.23000000,80144.87000000,80144.88,166.82330000,1778184899,2026-05-07T20:14:59+00:00,13385148.96164960,26268,92.64315000,7433102.53340110,Down
1778184900,2026-05-07T20:15:00+00:00,80144.88,80187.48000000,80096.58000000,80178.25,51.54817000,1778185799,2026-05-07T20:29:59+00:00,4131275.80287870,12350,26.56630000,2128877.65090170,Up
1778185800,2026-05-07T20:30:00+00:00,80178.25,80178.26000000,79907.01000000,79970.0,124.45798000,1778186699,2026-05-07T20:44:59+00:00,9960173.84804130,27057,48.32811000,3866916.86024650,Down
1778186700,2026-05-07T20:45:00+00:00,79970.0,80017.87000000,79859.51000000,79879.99,57.68504000,1778187599,2026-05-07T20:59:59+00:00,4611641.96744200,11512,21.34343000,1706318.22085240,Down
1778187600,2026-05-07T21:00:00+00:00,79880.0,79899.99000000,79660.00000000,79792.71,160.40835000,1778188499,2026-05-07T21:14:59+00:00,12794199.47598510,23322,59.12259000,4715646.61361970,Down
1778188500,2026-05-07T21:15:00+00:00,79792.71,79919.70000000,79724.80000000,79919.7,67.63835000,1778189399,2026-05-07T21:29:59+00:00,5400500.13928010,13547,39.44579000,3149390.91086570,Up
1778189400,2026-05-07T21:30:00+00:00,79919.7,79934.92000000,79776.69000000,79776.69,99.69246000,1778190299,2026-05-07T21:44:59+00:00,7964172.62795430,14501,39.26612000,3136814.24046990,Down
1778190300,2026-05-07T21:45:00+00:00,79776.7,79855.19000000,79735.00000000,79735.01,74.01545000,1778191199,2026-05-07T21:59:59+00:00,5906114.22335340,17958,36.29599000,2896008.53941130,Down
1778191200,2026-05-07T22:00:00+00:00,79735.0,79849.28000000,79582.95000000,79816.93,193.44453000,1778192099,2026-05-07T22:14:59+00:00,15415807.59630790,35777,94.39161000,7522131.18161760,Up
1778192100,2026-05-07T22:15:00+00:00,79816.93,79990.00000000,79816.93000000,79903.32,105.74075000,1778192999,2026-05-07T22:29:59+00:00,8450465.68887820,20851,61.81545000,4939764.17873200,Up
1778193000,2026-05-07T22:30:00+00:00,79903.32,79949.38000000,79750.00000000,79839.14,142.40783000,1778193899,2026-05-07T22:44:59+00:00,11372312.85852360,20524,69.98753000,5590012.15991650,Down
1778193900,2026-05-07T22:45:00+00:00,79839.15,79950.00000000,79832.34000000,79919.01,53.55245000,1778194799,2026-05-07T22:59:59+00:00,4278533.69016320,12009,33.08691000,2643393.80559840,Up
1778194800,2026-05-07T23:00:00+00:00,79919.0,80006.27000000,79890.00000000,79958.3,75.88252000,1778195699,2026-05-07T23:14:59+00:00,6068140.65422670,12707,37.13823000,2969455.05236600,Up
1778195700,2026-05-07T23:15:00+00:00,79958.29,79995.45000000,79871.98000000,79958.3,54.77069000,1778196599,2026-05-07T23:29:59+00:00,4378416.51986560,13223,27.83263000,2224920.19855390,Up
1778196600,2026-05-07T23:30:00+00:00,79958.3,80017.71000000,79919.30000000,80011.99,42.08806000,1778197499,2026-05-07T23:44:59+00:00,3366060.77063650,9439,27.89530000,2230969.51641420,Up
1778197500,2026-05-07T23:45:00+00:00,80012.0,80068.03000000,80005.99000000,80006.0,71.73042000,1778198399,2026-05-07T23:59:59+00:00,5740452.95271310,9399,37.97089000,3038736.04257360,Down
1778198400,2026-05-08T00:00:00+00:00,80006.0,80115.10000000,80006.00000000,80086.43,336.55343000,1778199299,2026-05-08T00:14:59+00:00,26941641.36928840,18441,258.75853000,20712229.80499700,Up
1778199300,2026-05-08T00:15:00+00:00,80086.42,80142.84000000,79990.28000000,80020.63,263.78002000,1778200199,2026-05-08T00:29:59+00:00,21123672.85319120,21362,190.74041000,15274962.70274650,Down
1778200200,2026-05-08T00:30:00+00:00,80020.62,80042.62000000,79910.60000000,79935.0,139.67814000,1778201099,2026-05-08T00:44:59+00:00,11171338.12465130,11618,50.92361000,4072348.79982370,Down
1778201100,2026-05-08T00:45:00+00:00,79935.0,79935.00000000,79729.72000000,79831.99,218.04847000,1778201999,2026-05-08T00:59:59+00:00,17400006.61495880,16205,59.43206000,4742004.85045780,Down
1778202000,2026-05-08T01:00:00+00:00,79831.98,79900.11000000,79702.51000000,79702.51,103.28092000,1778202899,2026-05-08T01:14:59+00:00,8242284.47932560,14289,51.33708000,4097386.09501880,Down
1778202900,2026-05-08T01:15:00+00:00,79702.51,79784.92000000,79612.63000000,79748.87,129.04210000,1778203799,2026-05-08T01:29:59+00:00,10285828.62054620,19404,60.21024000,4799365.83010530,Up
1778203800,2026-05-08T01:30:00+00:00,79748.88,79824.83000000,79698.37000000,79779.89,229.70041000,1778204699,2026-05-08T01:44:59+00:00,18325390.55599940,16136,110.58994000,8822183.22424780,Up
1778204700,2026-05-08T01:45:00+00:00,79779.9,79842.38000000,79730.22000000,79740.01,77.31495000,1778205599,2026-05-08T01:59:59+00:00,6167629.45653680,10571,37.28684000,2974218.42061870,Down
1778205600,2026-05-08T02:00:00+00:00,79740.01,79761.61000000,79523.55000000,79620.36,180.05811000,1778206499,2026-05-08T02:14:59+00:00,14333287.40327230,31623,78.19126000,6223444.95890380,Down
1778206500,2026-05-08T02:15:00+00:00,79620.36,79628.71000000,79316.99000000,79485.62,565.16293000,1778207399,2026-05-08T02:29:59+00:00,44881098.47088530,42519,220.86583000,17541844.01173920,Down
1778207400,2026-05-08T02:30:00+00:00,79485.63,79669.09000000,79447.14000000,79520.0,186.19294000,1778208299,2026-05-08T02:44:59+00:00,14811955.62877060,27852,77.90282000,6197822.80241330,Up
1778208300,2026-05-08T02:45:00+00:00,79520.0,79620.90000000,79441.45000000,79488.46,135.13243000,1778209199,2026-05-08T02:59:59+00:00,10747663.69551910,19419,86.42955000,6874131.74842610,Down
1778209200,2026-05-08T03:00:00+00:00,79488.47,79495.59000000,79181.48000000,79469.99,291.22116000,1778210099,2026-05-08T03:14:59+00:00,23102216.92168350,46199,139.77659000,11088900.53182260,Down
1778210100,2026-05-08T03:15:00+00:00,79469.99,79622.11000000,79469.99000000,79579.47,115.78853000,1778210999,2026-05-08T03:29:59+00:00,9212497.56271590,22586,69.59481000,5536923.84349260,Up
1778211000,2026-05-08T03:30:00+00:00,79579.47,79646.14000000,79579.47000000,79646.13,60.74444000,1778211899,2026-05-08T03:44:59+00:00,4836309.78819660,12630,38.29760000,3049054.77743500,Up
1778211900,2026-05-08T03:45:00+00:00,79646.13,79666.66000000,79563.34000000,79578.85,62.03766000,1778212799,2026-05-08T03:59:59+00:00,4938612.23652930,14286,28.76072000,2289437.89562430,Down
1778212800,2026-05-08T04:00:00+00:00,79578.84,79727.27000000,79575.35000000,79723.66,81.23492000,1778213699,2026-05-08T04:14:59+00:00,6470139.88288680,15559,46.67266000,3717826.09728190,Up
1778213700,2026-05-08T04:15:00+00:00,79723.67,79748.00000000,79671.37000000,79729.75,91.97472000,1778214599,2026-05-08T04:29:59+00:00,7330483.12498420,14908,65.15434000,5192664.96869090,Up
1778214600,2026-05-08T04:30:00+00:00,79729.76,79736.00000000,79551.26000000,79567.34,89.74642000,1778215499,2026-05-08T04:44:59+00:00,7147968.40333210,14801,23.14281000,1843015.83602570,Down
1778215500,2026-05-08T04:45:00+00:00,79567.34,79674.89000000,79567.33000000,79655.23,54.78099000,1778216399,2026-05-08T04:59:59+00:00,4362251.44368670,9493,29.69010000,2364180.67659710,Up
1778216400,2026-05-08T05:00:00+00:00,79655.22,79670.93000000,79600.00000000,79639.69,81.38333000,1778217299,2026-05-08T05:14:59+00:00,6481469.68851880,11417,41.21135000,3281863.38196820,Down
1778217300,2026-05-08T05:15:00+00:00,79639.68,79666.00000000,79600.00000000,79627.64,55.14531000,1778218199,2026-05-08T05:29:59+00:00,4391097.48487710,8558,24.04843000,1914755.27962650,Down
1778218200,2026-05-08T05:30:00+00:00,79627.64,79753.25000000,79627.64000000,79751.94,63.63836000,1778219099,2026-05-08T05:44:59+00:00,5072234.93767690,11194,39.26787000,3129855.37533140,Up
1778219100,2026-05-08T05:45:00+00:00,79751.95,79778.95000000,79600.00000000,79600.01,107.62664000,1778219999,2026-05-08T05:59:59+00:00,8578365.92690990,14709,36.88764000,2939836.70722350,Down
1778220000,2026-05-08T06:00:00+00:00,79600.01,79622.87000000,79450.13000000,79603.77,140.60012000,1778220899,2026-05-08T06:14:59+00:00,11179930.60465220,24182,52.39465000,4166277.36238760,Up
1778220900,2026-05-08T06:15:00+00:00,79603.78,79654.00000000,79542.37000000,79546.8,157.80445000,1778221799,2026-05-08T06:29:59+00:00,12562365.95205470,17418,55.28141000,4400275.15026620,Down
1778221800,2026-05-08T06:30:00+00:00,79546.79,79591.92000000,79411.00000000,79535.0,212.98460000,1778222699,2026-05-08T06:44:59+00:00,16934916.82812040,18378,93.70735000,7451248.16665600,Down
1778222700,2026-05-08T06:45:00+00:00,79535.0,79561.21000000,79483.05000000,79525.76,280.70754000,1778223599,2026-05-08T06:59:59+00:00,22320594.41915470,19938,149.25342000,11867085.71061090,Down
1778223600,2026-05-08T07:00:00+00:00,79525.77,79525.77000000,79300.00000000,79318.26,185.32082000,1778224499,2026-05-08T07:14:59+00:00,14714608.34914620,32407,69.54544000,5520610.81766350,Down
1778224500,2026-05-08T07:15:00+00:00,79318.27,79389.50000000,79248.58000000,79350.32,320.66135000,1778225399,2026-05-08T07:29:59+00:00,25432723.22090710,36058,123.14546000,9766877.12068590,Up
1778225400,2026-05-08T07:30:00+00:00,79350.33,79599.00000000,79350.33000000,79580.84,263.43444000,1778226299,2026-05-08T07:44:59+00:00,20945673.20370440,26847,177.03881000,14074348.14577860,Up
1778226300,2026-05-08T07:45:00+00:00,79580.83,79727.00000000,79562.79000000,79682.4,223.52117000,1778227199,2026-05-08T07:59:59+00:00,17804548.44117170,22009,146.84751000,11696717.74241530,Up
