feature,allow_rule,threshold,allowed_dangerous,blocked_dangerous,blocked_safe,allowed_safe,false_positive_rate_allowed_danger,false_negative_rate_blocked_safe,score
min_distance_from_target,min_distance_from_target >= 47.8515,47.851528566665365,15,2593,10302,3011,0.005751533742331288,0.7738300908886051,0.7795816246309364
min_distance_from_target,min_distance_from_target >= 54.7893,54.78930990921799,5,2603,10998,2315,0.0019171779141104294,0.8261098174716442,0.8280269953857546
min_distance_from_target,min_distance_from_target >= 65.7301,65.73012999999628,0,2608,11727,1586,0.0,0.8808683241943964,0.8808683241943964
min_distance_from_target,min_distance_from_target >= 89.9909,89.99090121107292,0,2608,12492,821,0.0,0.9383309547059265,0.9383309547059265
min_distance_from_target,min_distance_from_target >= 231.147,231.14716999999655,0,2608,13312,1,0.0,0.9999248854503118,0.9999248854503118
source_price_gap,source_price_gap <= 0.000225,0.00022499999613501132,1,2607,13313,0,0.0003834355828220859,1.0,1.000383435582822
source_price_gap,source_price_gap <= 1.13175,1.131748351501301,120,2488,12638,675,0.046012269938650305,0.9492976789604146,0.9953099488990649
source_price_gap,source_price_gap <= 2.21686,2.2168600000004517,267,2341,11987,1326,0.10237730061349694,0.9003981071133479,1.002775407726845
source_price_gap,source_price_gap <= 3.23048,3.230484719228116,405,2203,11334,1979,0.15529141104294478,0.8513483061669045,1.0066397172098493
source_price_gap,source_price_gap <= 4.06837,4.0683699999935925,541,2067,10681,2632,0.20743865030674846,0.8022985052204612,1.0097371555272097
source_price_gap,source_price_gap <= 4.95121,4.951214999993681,666,1942,10012,3301,0.2553680981595092,0.7520468714790055,1.0074149696385146
source_price_gap,source_price_gap <= 5.77592,5.775915333040757,812,1796,9363,3950,0.3113496932515337,0.7032975287313152,1.014647221982849
source_price_gap,source_price_gap <= 6.70945,6.709451121947495,983,1625,8738,4575,0.37691717791411045,0.6563509351761436,1.0332681130902541
source_price_gap,source_price_gap <= 7.63533,7.635332821766497,1118,1490,8080,5233,0.42868098159509205,0.6069255614812589,1.035606543076351
source_price_gap,source_price_gap <= 8.56147,8.561472836285247,1257,1351,7428,5885,0.481978527607362,0.5579508750845039,1.039929402691866
source_price_gap,source_price_gap <= 9.584,9.584004999996978,1400,1208,6779,6534,0.5368098159509203,0.5092015323368136,1.0460113482877338
source_price_gap,source_price_gap <= 10.7952,10.795234999997774,1530,1078,6114,7199,0.5866564417177914,0.459250356794111,1.0459067985119024
source_price_gap,source_price_gap <= 12.1118,12.11184306445648,1658,950,5443,7870,0.6357361963190185,0.40884849395327877,1.0445846902722973
source_price_gap,source_price_gap <= 13.7887,13.788652405521134,1791,817,4779,8534,0.6867331288343558,0.3589724329602644,1.04570556179462
source_price_gap,source_price_gap <= 15.7569,15.7569422947563,1892,716,4080,9233,0.7254601226993865,0.30646736272816044,1.031927485427547
source_price_gap,source_price_gap <= 18.1347,18.13467225182103,2011,597,3405,9908,0.7710889570552147,0.25576504168857506,1.02685399874379
source_price_gap,source_price_gap <= 21.173,21.172978095826693,2152,456,2749,10564,0.8251533742331288,0.20648989709306692,1.0316432713261958
source_price_gap,source_price_gap <= 25.227,25.226999034610344,2275,333,2074,11239,0.8723159509202454,0.15578757605348156,1.0281035269737269
source_price_gap,source_price_gap <= 30.6058,30.605841279000742,2407,201,1404,11909,0.9229294478527608,0.10546082776233756,1.0283902756150982
source_price_gap,source_price_gap <= 41.5871,41.58706999999413,2509,99,699,12614,0.9620398773006135,0.05250507023210396,1.0145449475327175
source_price_gap,source_price_gap <= 227.919,227.9189268846676,2608,0,0,13313,1.0,0.0,1.0
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 4.17219e-05,4.172192076455184e-05,1,2607,13313,0,0.0003834355828220859,1.0,1.000383435582822
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.04321,0.04321003680441706,34,2574,12550,763,0.01303680981595092,0.9426875985878465,0.9557244084037974
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.0832175,0.08321745517746308,88,2520,11809,1504,0.03374233128834356,0.887027717268835,0.9207700485571786
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.124829,0.12482874828285764,163,2445,11100,2213,0.0625,0.8337715015398482,0.8962715015398482
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.165334,0.16533390980248244,213,2395,10351,2962,0.0816717791411043,0.7775107038233305,0.8591824829644348
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.209665,0.20966541946895678,310,2298,9654,3659,0.11886503067484662,0.7251558626906032,0.8440208933654498
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.256573,0.25657288946413687,391,2217,8950,4363,0.14992331288343558,0.6722752197100579,0.8221985325934935
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.308201,0.3082010710016242,484,2124,8250,5063,0.18558282208588958,0.6196950349282656,0.8052778570141552
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.363401,0.3634005016818848,622,1986,7593,5720,0.23849693251533743,0.5703447757830692,0.8088417082984066
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.42483,0.4248302297765963,788,1820,6963,6350,0.30214723926380366,0.5230226094794562,0.8251698487432599
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.506697,0.5066968296681225,947,1661,6325,6988,0.3631134969325153,0.47509952677833694,0.8382130237108523
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.614576,0.6145756719583151,1105,1503,5688,7625,0.42369631901840493,0.42725155862690606,0.850947877645311
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.744738,0.7447376777058011,1275,1333,5060,8253,0.4888803680981595,0.38007962142266954,0.8689599895208291
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.938909,0.9389088945645091,1434,1174,4419,8894,0.5498466257668712,0.33193119507248553,0.8817778208393567
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 1.27355,1.2735514322924004,1523,1085,3713,9600,0.5839723926380368,0.2789003229925637,0.8628727156306004
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 1.74819,1.7481880259678944,1695,913,3089,10224,0.6499233128834356,0.2320288439870803,0.881952156870516
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 2.51013,2.510128900892244,1843,765,2438,10875,0.7066717791411042,0.1831292721400135,0.8898010512811177
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 3.56116,3.561157268166965,1996,612,1793,11520,0.7653374233128835,0.1346803875910764,0.9000178109039598
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 5.64296,5.642964822003978,2178,430,1182,12131,0.8351226993865031,0.0887853977315406,0.9239080971180437
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 11.8382,11.83816509436229,2378,230,587,12726,0.9118098159509203,0.0440922406670172,0.9559020566179375
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 2146.36,2146.356335111001,2608,0,22,13291,1.0,0.0016525200931420416,1.001652520093142
seconds_to_expiry,seconds_to_expiry >= 0,0.0,2608,0,0,13313,1.0,0.0,1.0
seconds_to_expiry,seconds_to_expiry >= 37.313,37.313,2467,141,665,12648,0.9459355828220859,0.04995117554270262,0.9958867583647886
seconds_to_expiry,seconds_to_expiry >= 75.855,75.855,2319,289,1306,12007,0.8891871165644172,0.09809960189288665,0.9872867184573039
seconds_to_expiry,seconds_to_expiry >= 118.294,118.294,2156,452,1934,11379,0.8266871165644172,0.14527153909712312,0.9719586556615403
seconds_to_expiry,seconds_to_expiry >= 160.235,160.235,1997,611,2572,10741,0.7657208588957055,0.19319462179824232,0.9589154806939478
seconds_to_expiry,seconds_to_expiry >= 201.005,201.005,1857,751,3232,10081,0.7120398773006135,0.24277022459250358,0.954810101893117
seconds_to_expiry,seconds_to_expiry >= 243.548,243.548,1707,901,3881,9432,0.6545245398773006,0.2915195673401938,0.9460441072174944
seconds_to_expiry,seconds_to_expiry >= 284.83,284.83,1582,1026,4560,8753,0.6065950920245399,0.34252234657853226,0.9491174386030721
