contract_id,seconds_to_expiry_bucket,timestamp_utc,source_price_gap,min_distance_from_target,gap_to_min_distance_ratio,price_direction_agreement
KXBTC15M-26MAY170530-30,300,2026-05-17T09:24:59.492Z,14.481650000001537,8.580000000001746,1.6878379953378309,False
KXBTC15M-26MAY170530-30,180,2026-05-17T09:26:59.420Z,2.981064999999944,8.973688459795085,0.3322006344833613,True
KXBTC15M-26MAY170530-30,120,2026-05-17T09:27:59.414Z,2.8095091030118056,8.692132562806364,0.3232243736173209,True
KXBTC15M-26MAY170530-30,90,2026-05-17T09:28:29.479Z,3.5570949999964796,8.699718459800351,0.40887472582395623,True
KXBTC15M-26MAY170530-30,60,2026-05-17T09:28:59.431Z,0.26180500000191387,5.334428459798801,0.049078359935824954,True
KXBTC15M-26MAY170530-30,30,2026-05-17T09:29:29.468Z,6.74935576612188,1.66673230631568,4.049453976830487,False
KXBTC15M-26MAY170530-30,15,2026-05-17T09:29:43.482Z,5.030879999991157,1.4582565401942702,3.4499279525404623,False
KXBTC15M-26MAY170530-30,5,2026-05-17T09:29:53.447Z,0.5223649999970803,1.7550115401973017,0.297641917464745,False
KXBTC15M-26MAY170530-30,0,2026-05-17T09:29:59.477Z,11.439247408372466,7.86662394857558,1.4541495161267735,False
KXBTC15M-26MAY170800-00,900,2026-05-17T11:45:17.283Z,7.249895448621828,8.137055448620231,0.8909728456933601,False
KXBTC15M-26MAY170800-00,600,2026-05-17T11:49:59.469Z,17.708073986228555,5.669999999998254,3.12311710515591,True
KXBTC15M-26MAY170800-00,300,2026-05-17T11:54:58.941Z,8.79307366797002,16.86591366796347,0.5213517536658759,True
KXBTC15M-26MAY170800-00,180,2026-05-17T11:56:58.920Z,14.486165778624127,11.199005778616993,1.2935224844944295,True
KXBTC15M-26MAY170800-00,120,2026-05-17T11:57:58.954Z,5.89466825616546,1.2481717438349733,4.722641964361614,True
KXBTC15M-26MAY170800-00,90,2026-05-17T11:58:28.987Z,4.55000000000291,0.6228399999963585,7.3052469334492205,True
KXBTC15M-26MAY170800-00,60,2026-05-17T11:58:58.966Z,8.292661773986765,0.9044982260093093,9.16824548188933,False
KXBTC15M-26MAY170800-00,30,2026-05-17T11:59:28.941Z,8.249691804507165,4.306851804503822,1.9154807685465707,False
KXBTC15M-26MAY170800-00,15,2026-05-17T11:59:44.928Z,3.2229450000013458,5.974214999994729,0.5394758976709391,False
KXBTC15M-26MAY170800-00,5,2026-05-17T11:59:54.969Z,2.4380049999890616,6.440000000002328,0.37857220496710875,False
KXBTC15M-26MAY170800-00,0,2026-05-17T11:59:58.954Z,0.7249490355752641,6.842210964430706,0.1059524529927414,False
KXBTC15M-26MAY170815-15,900,2026-05-17T12:00:20.990Z,5.157071511042886,0.8800000000046566,5.860308535244997,True
KXBTC15M-26MAY170815-15,600,2026-05-17T12:04:58.302Z,12.92989650083473,3.139999999999418,4.11780143338762,True
KXBTC15M-26MAY170815-15,300,2026-05-17T12:09:58.612Z,2.5093128503940534,15.684467149607372,0.15998712780350138,True
KXBTC15M-26MAY170815-15,180,2026-05-17T12:11:58.579Z,39.95072852673184,14.239999999990687,2.8055286886768234,False
KXBTC15M-26MAY170815-15,120,2026-05-17T12:12:58.604Z,9.57248499999696,26.583734999992885,0.3600880387951325,True
KXBTC15M-26MAY170815-15,90,2026-05-17T12:13:28.615Z,5.846240000013495,30.420000000012806,0.19218408941522136,True
KXBTC15M-26MAY170815-15,60,2026-05-17T12:13:58.635Z,5.325944999989588,29.889999999999418,0.17818484442923022,True
KXBTC15M-26MAY170815-15,30,2026-05-17T12:14:28.722Z,0.6022365489043295,32.55000000000291,0.018501890903357163,True
KXBTC15M-26MAY170815-15,15,2026-05-17T12:14:44.590Z,16.53492412873311,19.881295871266047,0.8316824132490596,True
KXBTC15M-26MAY170815-15,5,2026-05-17T12:14:54.618Z,11.433288937376346,8.809999999997672,1.297762648964741,True
KXBTC15M-26MAY170815-15,0,2026-05-17T12:15:00.621Z,62.66471984006057,22.898499840070144,2.736629922384846,False
KXBTC15M-26MAY170830-30,900,2026-05-17T12:15:25.691Z,41.26440582667419,8.639999999999418,4.775972896606131,True
KXBTC15M-26MAY170830-30,600,2026-05-17T12:19:59.579Z,29.29258567560464,21.07992329976696,1.3895964069247098,True
KXBTC15M-26MAY170830-30,300,2026-05-17T12:24:58.861Z,1.9202163932204712,16.5,0.11637675110427098,False
KXBTC15M-26MAY170830-30,180,2026-05-17T12:26:58.912Z,14.398435468465323,18.99000000000524,0.7582114517357215,False
KXBTC15M-26MAY170830-30,120,2026-05-17T12:27:58.918Z,14.53166710586811,18.99000000000524,0.7652273357485045,False
KXBTC15M-26MAY170830-30,90,2026-05-17T12:28:28.925Z,5.961465000000317,25.160000000003492,0.23694217011126745,False
